PROJET;EMET;PHASE;LOT;NIVEAU;ZONE;TYPE DE DOCUMENT;Numéro de document;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Date demande visaRIVAT Architectes;Retard visaRIVAT Architectes;Date visaRIVAT Architectes;VisaRIVAT Architectes;Visa prévuRIVAT Architectes;Numéro chrono visaRIVAT Architectes;Numéro interne visaRIVAT Architectes;Commentaire visaRIVAT Architectes;Réponse commentaire visaRIVAT Architectes;Date demande visaSCAU;Retard visaSCAU;Date visaSCAU;VisaSCAU;Visa prévuSCAU;Numéro chrono visaSCAU;Numéro interne visaSCAU;Commentaire visaSCAU;Réponse commentaire visaSCAU;Date demande visaJLL INGENIERIE;Retard visaJLL INGENIERIE;Date visaJLL INGENIERIE;VisaJLL INGENIERIE;Visa prévuJLL INGENIERIE;Numéro chrono visaJLL INGENIERIE;Numéro interne visaJLL INGENIERIE;Commentaire visaJLL INGENIERIE;Réponse commentaire visaJLL INGENIERIE;Date demande visaBTP Consultant;Retard visaBTP Consultant;Date visaBTP Consultant;VisaBTP Consultant;Visa prévuBTP Consultant;Numéro chrono visaBTP Consultant;Numéro interne visaBTP Consultant;Commentaire visaBTP Consultant;Réponse commentaire visaBTP Consultant;Date demande visaADVENIO ENV;Retard visaADVENIO ENV;Date visaADVENIO ENV;VisaADVENIO ENV;Visa prévuADVENIO ENV;Numéro chrono visaADVENIO ENV;Numéro interne visaADVENIO ENV;Commentaire visaADVENIO ENV;Réponse commentaire visaADVENIO ENV;Date demande visaADVENIO COM;Retard visaADVENIO COM;Date visaADVENIO COM;VisaADVENIO COM;Visa prévuADVENIO COM;Numéro chrono visaADVENIO COM;Numéro interne visaADVENIO COM;Commentaire visaADVENIO COM;Réponse commentaire visaADVENIO COM;Date demande visa42 CONSULTING;Retard visa42 CONSULTING;Date visa42 CONSULTING;Visa42 CONSULTING;Visa prévu42 CONSULTING;Numéro chrono visa42 CONSULTING;Numéro interne visa42 CONSULTING;Commentaire visa42 CONSULTING;Réponse commentaire visa42 CONSULTING;Date demande visaACOUSTB - EGIS;Retard visaACOUSTB - EGIS;Date visaACOUSTB - EGIS;VisaACOUSTB - EGIS;Visa prévuACOUSTB - EGIS;Numéro chrono visaACOUSTB - EGIS;Numéro interne visaACOUSTB - EGIS;Commentaire visaACOUSTB - EGIS;Réponse commentaire visaACOUSTB - EGIS;Date demande visaARCORA;Retard visaARCORA;Date visaARCORA;VisaARCORA;Visa prévuARCORA;Numéro chrono visaARCORA;Numéro interne visaARCORA;Commentaire visaARCORA;Réponse commentaire visaARCORA;Date demande visaJLL;Retard visaJLL;Date visaJLL;VisaJLL;Visa prévuJLL;Numéro chrono visaJLL;Numéro interne visaJLL;Commentaire visaJLL;Réponse commentaire visaJLL;Date demande visaKHEPHREN;Retard visaKHEPHREN;Date visaKHEPHREN;VisaKHEPHREN;Visa prévuKHEPHREN;Numéro chrono visaKHEPHREN;Numéro interne visaKHEPHREN;Commentaire visaKHEPHREN;Réponse commentaire visaKHEPHREN;Date demande visaLAND;Retard visaLAND;Date visaLAND;VisaLAND;Visa prévuLAND;Numéro chrono visaLAND;Numéro interne visaLAND;Commentaire visaLAND;Réponse commentaire visaLAND;Date demande visaPh. A;Retard visaPh. A;Date visaPh. A;VisaPh. A;Visa prévuPh. A;Numéro chrono visaPh. A;Numéro interne visaPh. A;Commentaire visaPh. A;Réponse commentaire visaPh. A;Date demande visaSOCOTEC;Retard visaSOCOTEC;Date visaSOCOTEC;VisaSOCOTEC;Visa prévuSOCOTEC;Numéro chrono visaSOCOTEC;Numéro interne visaSOCOTEC;Commentaire visaSOCOTEC;Réponse commentaire visaSOCOTEC;Date demande visaANTEA;Retard visaANTEA;Date visaANTEA;VisaANTEA;Visa prévuANTEA;Numéro chrono visaANTEA;Numéro interne visaANTEA;Commentaire visaANTEA;Réponse commentaire visaANTEA;Date demande visaMOVVEO;Retard visaMOVVEO;Date visaMOVVEO;VisaMOVVEO;Visa prévuMOVVEO;Numéro chrono visaMOVVEO;Numéro interne visaMOVVEO;Commentaire visaMOVVEO;Réponse commentaire visaMOVVEO;Column162;Column163;Column164;Column165;Column166
MDLF;MC;EXE;SER;RDC;TTZ;PLN;2047;C;Plan MC+CHASSE ROUES hall RDC.pdf;DI;15/04/2024;;Martin ANACHE;/04 - DOCUMENTS D'EXECUTION/Lot 16 - Serrurerie - Métallerie/02 - Pieces Graphiques;;;15/04/2024;;19/04/2024;VAO;;2298;3;"Alina TRYBULSKI :
•	Sous réserve de la synthèse générale : autocontrôler pente de rampe gros œuvre
•	Sous réserve de l'avis du BCT
•	Sous réserve des remarques architecte
•	Teinte de tous les éléments : RAL 1013 mat
•	Attention à la présence de poteau : la main courante doit être continue sur une seule ligne et respecter une distance de 5cm min entre son extrémité et le support vertical. Ce qui est le cas sur l’axonométrie mais pas le détail transmis. Voir annotations sur plan.";;15/04/2024;;;3;29/04/2024;;;;;;;;;;;;;;15/04/2024;;;3;29/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;MC;EXE;SER;RDC;TTZ;PLN;2047;B;Plan MC+CHASSE ROUES hall RDC.pdf;;07/03/2024;;Clara BOUCHUT;/04 - DOCUMENTS D'EXECUTION/Lot 16 - Serrurerie - Métallerie/02 - Pieces Graphiques;;;07/03/2024;;;;21/03/2024;;;;;07/03/2024;;15/03/2024;VAOB;;2456;;"David QUERE :
Sous réserve de l'avis du BCT sur les MC et Lisse sur pied. 

Voir visa ci-joint, chasse roue, écuyers, lisse à revoir conformément au détail svp";;;;;;;;;;;07/03/2024;;12/03/2024;FAV;;2118;;;;07/03/2024;-21;11/04/2024;HM;;2156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;MAR;EXE;PLB;SS1;TTZ;PLN;300;D;NIVEAU SS1 BEHP.pdf;DI;15/04/2024;;Rozenn LEPAGE;/04 - DOCUMENTS D'EXECUTION/Lot 09 - Plomberie/02 - Pieces Graphiques/Vue en plan;;;15/04/2024;;;3;29/04/2024;;;;;15/04/2024;;24/04/2024;VAO;;2511;;"Syeva ROEST :
Sous réserve du respect d'une hauteur libre de 2.00m sous obstacle";;15/04/2024;;;3;29/04/2024;;;;;15/04/2024;;;3;29/04/2024;;;;;15/04/2024;;;3;29/04/2024;;;;;;;;;;;;;;15/04/2024;;;3;29/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;MAR;EXE;PLB;SS1;TTZ;PLN;300;C;NIVEAU SS1 BEHP.pdf;;02/04/2024;;Rozenn LEPAGE;/04 - DOCUMENTS D'EXECUTION/Lot 09 - Plomberie/02 - Pieces Graphiques/Vue en plan;;;02/04/2024;;;;16/04/2024;;;;;02/04/2024;;05/04/2024;VAO;;2492;;"David QUERE :
Hauteur minimum à respecter sous tout obstacle dans le parking = 2.00m";;02/04/2024;;03/04/2024;VAOB;;1104;;"Axelle VINCENT :
Mettre fond de plan avec les places 2R et 4R lisibles pour relecture implantation des buses.
Confirmer toutes les places de parking bien couvertes.
Sous réserve validation du BCT.";"MAHINTHAN MARIOFF :
Nous avons pris note de vos instructions et avons mis à jour le visa en conséquence. Le fond de plan désormais inclus les emplacements 2R et 4R, ainsi qu'une buse ajoutée dans la zone nuageuse.
 fr :  
MDLF_MAR_EXE_PLB_SS1_TTZ_PLN_0300-D.pdf, 
MDLF_MAR_EXE_PLB_SS1_TTZ_PLN_0300-D.zip";02/04/2024;;;;16/04/2024;;;;;02/04/2024;;;;16/04/2024;;;;;;;;;;;;;;02/04/2024;;;;16/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;MAR;EXE;PLB;SS1;TTZ;PLN;300;B;.pdf;;02/10/2023;;MAHINTHAN MARIOFF;/04 - DOCUMENTS D'EXECUTION/Lot 09 - Plomberie/02 - Pieces Graphiques/Vue en plan;;;02/10/2023;-44;29/11/2023;VAO;;1846;;"Romain MATHEY :
sous réserve remarques JLLi";;02/10/2023;-1;17/10/2023;VAO;;1492;;"Syeva ROEST :
Sous réserve visa JLLi

Bien vérifier la synthèse réseaux, minimum 2m sous obstacle.";;02/10/2023;-9;25/10/2023;VAO;;755;;"Axelle VINCENT :
Sous réserve synthèse
Sous réserve BCT
Sous réserve archi";;02/10/2023;-50;04/12/2023;FAV;;1702;;;;02/10/2023;-36;21/11/2023;HM;;1541;;;;;;;;;;;;;02/10/2023;;03/10/2023;HM;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;RDC;TTZ;PLN;1016;B;Plan de calepinage du sanitaire PMR du RDC.pdf;DI;12/04/2024;;Didier BONNEVIE;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;15/04/2024;;;3;29/04/2024;;;;;15/04/2024;;22/04/2024;VSO;;2503;;;;;;;;;;;;;15/04/2024;;19/04/2024;FAV;;2237;;;;15/04/2024;;;3;29/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;RDC;TTZ;PLN;1016;A;MDLF-DPR-EXE-SDR-RDC-TTZ-PLN-1016-A - Plan de calepinage du sanitaire PMR du RDC.pdf;;08/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;08/04/2024;;;;22/04/2024;;;;;08/04/2024;;12/04/2024;VAOB;;2499;;"Syeva ROEST :
Voir document annoté";;;;;;;;;;;08/04/2024;;;;22/04/2024;;;;;08/04/2024;;;;22/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;TNX;TTZ;CLP;1009;D;Plan de calepinage sanitaires compartiment B plot 1.pdf;DI;28/03/2024;;Didier BONNEVIE;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;17/04/2024;;;4;01/05/2024;;;;;17/04/2024;;22/04/2024;VAO;;2504;;"Syeva ROEST :
Attention, il y a un mélange entre indices. 
Nous validons sans observations l'indice C.
L'indice D est obsolète";;;;;;;;;;;17/04/2024;;19/04/2024;FAV;;2236;;;;17/04/2024;;;4;01/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
28/03/2024
DP.r CEA -> VSO
Clémence GORIUS :";;;;
MDLF;SOL;EXE;SDR;TNX;TTZ;CLP;1009;C;MDLF-SOL-EXE-SDR-TNX-R00-CLP-1009-A - Plan de calepinage sanitaires compartiment B plot 1.pdf;;12/04/2024;;Didier BONNEVIE;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;12/04/2024;;;;26/04/2024;;;;;12/04/2024;;;;26/04/2024;;;;;;;;;;;;;;12/04/2024;;;;26/04/2024;;;;;12/04/2024;;;;26/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;TNX;TTZ;CLP;1009;B;MDLF-SOL-EXE-SDR-TNX-R00-CLP-1009-A - Plan de calepinage sanitaires compartiment B plot 1.pdf;;09/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;09/04/2024;;;;23/04/2024;;;;;09/04/2024;;12/04/2024;VAO;;2500;;"Syeva ROEST :
Voir document annoté";;;;;;;;;;;09/04/2024;;;;23/04/2024;;;;;09/04/2024;;;;23/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;TNX;TTZ;CLP;1009;A;MDLF-SOL-EXE-SDR-TNX-R00-CLP-1009-A - Plan de calepinage sanitaires compartiment B plot 1.pdf;;02/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;02/04/2024;;;;16/04/2024;;;;;02/04/2024;;08/04/2024;VAOB;;2494;;"Syeva ROEST :
Faïence murale validée
Voir document annoté pour le carrelage au sol";;;;;;;;;;;02/04/2024;;;;16/04/2024;;;;;02/04/2024;;;;16/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;TUN;EXE;CVCD;TNX;TTZ;DAF;64;A;Fiche technique GAINE PERFOREE.pdf;DI;12/04/2024;;Alexandre DESAINTPIERRE;/04 - DOCUMENTS D'EXECUTION/Lot 08A - CVCD/03 - Fiche Technique Produit;;;12/04/2024;;;-1;26/04/2024;;;;;12/04/2024;;24/04/2024;VAO;;2508;;"Syeva ROEST :
La finition de la gaine RAL 1013 peut-elle être mat? 
Si c'est le cas, la finition peut-elle être la même pour les pièces spéciales supplémentaires?

Préciser la teinte des colliers";;12/04/2024;;16/04/2024;VAO;;1123;;"Axelle VINCENT :
Etude de diffusion avec la vitesse d'air, est-ce possible d'avoir la même étude avec la répartition des températures ?
Sous réserve archi";;12/04/2024;;;-1;26/04/2024;;;;;12/04/2024;;;-1;26/04/2024;;;;;12/04/2024;;;-1;26/04/2024;;;;;12/04/2024;;;-1;26/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;DPR;DOE;GOE;TNX;TTZ;DOC;1;A;DOE Etandex - cuvelage.pdf;DI;10/04/2024;;Berangere LITTEE;/07 - DOE/Lot 03 - Gros-œuvre/Cuvelage;;;10/04/2024;;;-3;24/04/2024;;;;;10/04/2024;;15/04/2024;HM;;2502;;;;;;;;;;;;;10/04/2024;;;-3;24/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/04/2024;;10/04/2024;PI;;;;;;10/04/2024;;;-3;24/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;TNX;TTZ;CLP;1010;D;Plan de calepinage sanitaires RDC compartiment B plot 2.pdf;DI;09/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;09/04/2024;;;-3;23/04/2024;;;;;09/04/2024;;12/04/2024;VSO;;2497;;;;;;;;;;;;;09/04/2024;;19/04/2024;FAV;;2235;;;;09/04/2024;;;-3;23/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
