TYPE DE DOCUMENT;Categ_Docs;desc_lot;Libellé du document;min;max;Différence en jours;Nombre d'indices;Indices utilisés
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7057-A - AG.T2 Kvadrat Hallingdal 65 0407.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7058-A - AG.T3 Kvadrat Canvas 2 0654.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7059-A - AG.T5 Kvadrat Field 2 0222.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7060-A - AG.T6 Pierre Frey Velvet Lines Tuile.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7061-A - AG.T7 Kvadrat Raas 0112.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7062-A - AG.C2 Serge Ferrari Stamskin Top 20281.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7063-A - AG.C3 Serge Ferrari Stamskin Top 20283.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7064-A - AG.C4 Serge Ferrari Stamskin Top 20279.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7065-A - AG.C6 Vescom Furka Plus 7064.33.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7066-A - AG.C7 Skai Parotega Cashmere.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7067-A - AG.A1 Panneau 3D Orac Decor W110.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7068-A - AG.F1 Faience Mosa 16900 Blanc brillant.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7069-A - AG.F2 Faience CE.SI I Colori Canapa Mat.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7070-A - AG.A1 Texaa Vibrasto 55.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;Kiosque boulangerie AG103 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Kiosque club house AG102 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Kiosque street food de la salle à manger AG105 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Mange-debout du club house coté façade accès au hall 1 AG109 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Mange-debout du club house coté terrasse extérieure sur parvis AG109 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Meuble bliothèque hall 1 AG101B RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Meuble des salles de cours 1 et 2 du fitness AG 203.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Rangement chariot plateaux du club house AG111 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Tablet haute du restaurant AG114 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Tisanerie AG001 SS1.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Verrière du restaurant AG115 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;ABREUVOIR A OISEAUX.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;ABRI A INSECTES.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;ABRI POUR ABEILLES.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;ANCRAGE DE MOTTE.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;BAC ROND 100X80.pdf;28/03/2024;28/03/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;BAC ROND 60X60.pdf;28/03/2024;28/03/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;BILLE D'ARGILE.pdf;17/11/2023;23/02/2024;98;3.0;A, B, C
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;Borne lumineuse Balise 84750.pdf;23/02/2024;23/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;CORNIERE ALU HT 15CM.pdf;24/01/2024;09/04/2024;76;3.0;A, B, C
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;COUCHE DRAINANTE TYPE DK 20.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;COUCHE DRAINANTE TYPE DK 40.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;COUCHE DRAINANTE TYPE FIXODRIVE FX 50.pdf;23/02/2024;09/04/2024;46;3.0;A, B, C
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF Banquettes ext.pdf;08/02/2024;08/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF Clous podotactiles (circulation vélo).pdf;08/02/2024;08/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF Dossier de plantes.pdf;23/02/2024;23/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF Terre végétale.pdf;23/02/2024;27/03/2024;33;2.0;A, B
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF arrosage automatique _ Sonde pluviometrique.pdf;24/01/2024;24/01/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF guide et attaches plantes grimpantes.pdf;23/02/2024;23/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF luminaires extérieurs..pdf;08/02/2024;08/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF pas Japonais en pierre naturelle.pdf;06/03/2024;06/03/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;DAF revêtement minéral sur les parvis.pdf;08/02/2024;09/04/2024;61;2.0;A, B
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;ELECTROVANNES.pdf;17/11/2023;24/01/2024;68;2.0;A, B
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;FOURREAUX POUR ALIMENTATION ELECTRIQUE.pdf;23/02/2024;23/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;GEOTEXTILE.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;GORGE.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;JARDINIERE INTERIEUR 100X50X50.pdf;28/03/2024;28/03/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;JARDINIERE INTERIEUR 120X50X50.pdf;28/03/2024;28/03/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;JARDINIERE INTERIEUR 200X50X50.pdf;28/03/2024;28/03/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;LAME EN COMPOSITE.pdf;22/02/2024;22/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;LAME EN PIN.pdf;22/02/2024;22/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;MANGEAOIRES A OISEAUX.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;MESANGES.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;NICHOIRS A MARTINETS NOIRS.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;NICHOIRS ROUGE GORGE.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;PAILLAGE ORGANIQUE.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;PROGRAMMATEUR.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;REGARD D'ARROSAGE.pdf;17/11/2023;09/04/2024;144;2.0;A, B
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;REMBLAIBOX.pdf;22/02/2024;22/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;SUBSTRAT ALLEGE.pdf;23/02/2024;23/02/2024;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;SUBSTRAT PLANTE INTERIEUR.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;TERRE VEGETALE AMENDEE.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;TUYAU GOUTTE A GOUTTE.pdf;17/11/2023;09/04/2024;144;2.0;A, B
DAF;docs écris;Aménagements Extérieurs - Parvis - Espaces verts;TUYAU PEHD.pdf;17/11/2023;17/11/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;"""Fiche produit Signalisations DCS KSS800 et KSS900";27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;"""Fiche produit Signalisations KSS140";27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;"""Fiche produit Signalisations KSS700";27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Mains courantes.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Parois de cabine.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Parois frontales.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Plafonds.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Plinthes - Lisses de protection.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Sols.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Tableau de maintenance (MAP).pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Vantaux et encadrements des portes.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche produit Verre et miroir.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;Fiche technique crochet de manutention.pdf;27/03/2023;27/03/2023;0;1.0;A
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_301_B Fiche produit Parois de cabine.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_302_B Fiche produit Parois frontales.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_303_B Fiche produit Plafonds.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_304_B Fiche produit Sols.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_305_B Fiche produit Mains courantes.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_306_B Fiche produit Plinthes - Lisses de protection.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_307_B Fiche produit Vantaux et encadrements des portes.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_308_B Fiche produit Verre et miroir.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_309_B Fiche produit Tableau de maintenance (MAP).pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_310_B Fiche produit Signalisations DCS KSS800 et KSS900 quadruplex AS1 - AS2 - AS3 - AS4 et triplex AS5 - AS6 - AS7.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_311_B Fiche produit Signalisations KSS700 duplex AI1 - AI2 - duplex AI4 - AI5 - ASC patio AI3.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_312_B Fiche produit Signalisations KSS140 MC AS8 - ASC RIE AI6 - MC vélos AI7.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Appareils élévateurs;GLF_EXE_KON_21_DAF_313_B Fiche technique crochet de manutention.pdf;04/04/2023;04/04/2023;0;1.0;B
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage; CASSETTE.pdf;08/08/2023;30/10/2023;83;2.0;A, B
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;ACCUMULATEURS DE GLACE.pdf;07/07/2023;07/07/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;ARMOIRE DE CLIMATISATION.pdf;11/04/2024;11/04/2024;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;BOUCHE VMC.pdf;24/02/2023;24/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;BOÎTES A DÉBIT VARIABLE.pdf;04/08/2023;04/08/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;CALORIFUGE.pdf;27/02/2023;04/09/2023;189;2.0;A, B
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;CASSETTES.pdf;31/07/2023;31/07/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;CENTRALES DE TRAITEMENT D'AIR.pdf;17/07/2023;14/09/2023;59;2.0;A, B
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;CLAPET COUPE-FEU.pdf;28/02/2023;28/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;COMPTAGE.pdf;22/03/2023;22/03/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;CONVECTEURS ÉLECTRIQUES.pdf;18/04/2024;18/04/2024;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;DIFFUSEURS SOUFFLAGE REPRISE BUREAUX.pdf;05/04/2023;05/04/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;DIFFUSEURS ZONE DÉCORATION.pdf;25/05/2023;07/11/2023;166;3.0;A, B, C
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;DÉTECTEURS DE FUMÉES.pdf;05/03/2024;05/03/2024;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;FLOCAGE.pdf;27/02/2023;27/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GAINE COUPE-FEU.pdf;14/03/2023;14/03/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GAINES SOUPLES ISOPHONIQUES.pdf;24/02/2023;24/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GAINES.pdf;24/02/2023;24/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GESTION VENTILATION PARKING.pdf;05/03/2024;05/03/2024;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GRILLES D'EXTRACTION PLAFONNIERES.pdf;16/03/2023;16/03/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GRILLES DE TRANSFERT.pdf;27/02/2023;25/04/2024;423;3.0;A, B, C
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;GROUPES FROID + AÉRORÉFRIGÉRANTS.pdf;08/08/2023;08/08/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;HOTTES.pdf;06/11/2023;06/11/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;MODULE DE RÉGLAGE.pdf;24/02/2023;24/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;PLANCHERS RÉVERSIBLES.pdf;30/10/2023;30/10/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;POMPES.pdf;15/12/2023;15/12/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;RACCORD ZAG.pdf;24/02/2023;24/02/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;RIDEAU D'AIR CHAUD ÉLECTRIQUE.pdf;18/03/2024;23/04/2024;36;2.0;A, B
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;ROBINETTERIE.pdf;23/05/2023;23/05/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;RÉGULATEUR DE PRÉSSION DIFFÉRENTIELLE.pdf;17/03/2023;17/03/2023;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;RÉGULATION HYDRAULIQUE DES CTA ET DÉBITS MINI DES POMPES.pdf;06/03/2024;08/03/2024;2;2.0;A, B
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;TRAÇAGE ÉLECTRIQUE.pdf;05/03/2024;05/03/2024;0;1.0;A
DAF;docs écris;Chauffage - Ventilation - Climatisation - Désenfumage;TUBES PVC.pdf;24/02/2023;24/02/2023;0;1.0;A
