TYPE DE DOCUMENT,Categ_Docs,desc_lot,Libellé du document,min,max,Différence en jours,Nombre d'indices,Indices utilisés
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7063-A - AG.C3 Serge Ferrari Stamskin Top 20283.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7064-A - AG.C4 Serge Ferrari Stamskin Top 20279.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7065-A - AG.C6 Vescom Furka Plus 7064.33.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7066-A - AG.C7 Skai Parotega Cashmere.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7067-A - AG.A1 Panneau 3D Orac Decor W110.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7068-A - AG.F1 Faience Mosa 16900 Blanc brillant.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7069-A - AG.F2 Faience CE.SI I Colori Canapa Mat.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7070-A - AG.A1 Texaa Vibrasto 55.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,Kiosque boulangerie AG103 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Kiosque club house AG102 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Kiosque street food de la salle à manger AG105 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Mange-debout du club house coté façade accès au hall 1 AG109 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Mange-debout du club house coté terrasse extérieure sur parvis AG109 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Meuble bliothèque hall 1 AG101B RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Meuble des salles de cours 1 et 2 du fitness AG 203.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Rangement chariot plateaux du club house AG111 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Tablet haute du restaurant AG114 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Tisanerie AG001 SS1.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Verrière du restaurant AG115 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,ABREUVOIR A OISEAUX.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,ABRI A INSECTES.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,ABRI POUR ABEILLES.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,ANCRAGE DE MOTTE.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,BAC ROND 100X80.pdf,2024-03-28,2024-03-28,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,BAC ROND 60X60.pdf,2024-03-28,2024-03-28,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,BILLE D'ARGILE.pdf,2023-11-17,2024-02-23,98,3.0,"A, B, C"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,Borne lumineuse Balise 84750.pdf,2024-02-23,2024-02-23,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,CORNIERE ALU HT 15CM.pdf,2024-01-24,2024-04-09,76,3.0,"A, B, C"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,COUCHE DRAINANTE TYPE DK 20.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,COUCHE DRAINANTE TYPE DK 40.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,COUCHE DRAINANTE TYPE FIXODRIVE FX 50.pdf,2024-02-23,2024-04-09,46,3.0,"A, B, C"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF Banquettes ext.pdf,2024-02-08,2024-02-08,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF Clous podotactiles (circulation vélo).pdf,2024-02-08,2024-02-08,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF Dossier de plantes.pdf,2024-02-23,2024-02-23,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF Terre végétale.pdf,2024-02-23,2024-03-27,33,2.0,"A, B"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF arrosage automatique _ Sonde pluviometrique.pdf,2024-01-24,2024-01-24,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF guide et attaches plantes grimpantes.pdf,2024-02-23,2024-02-23,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF luminaires extérieurs..pdf,2024-02-08,2024-02-08,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF pas Japonais en pierre naturelle.pdf,2024-03-06,2024-03-06,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,DAF revêtement minéral sur les parvis.pdf,2024-02-08,2024-04-09,61,2.0,"A, B"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,ELECTROVANNES.pdf,2023-11-17,2024-01-24,68,2.0,"A, B"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,FOURREAUX POUR ALIMENTATION ELECTRIQUE.pdf,2024-02-23,2024-02-23,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,GEOTEXTILE.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,GORGE.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,JARDINIERE INTERIEUR 100X50X50.pdf,2024-03-28,2024-03-28,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,JARDINIERE INTERIEUR 120X50X50.pdf,2024-03-28,2024-03-28,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,JARDINIERE INTERIEUR 200X50X50.pdf,2024-03-28,2024-03-28,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,LAME EN COMPOSITE.pdf,2024-02-22,2024-02-22,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,LAME EN PIN.pdf,2024-02-22,2024-02-22,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,MANGEAOIRES A OISEAUX.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,MESANGES.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,NICHOIRS A MARTINETS NOIRS.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,NICHOIRS ROUGE GORGE.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,PAILLAGE ORGANIQUE.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,PROGRAMMATEUR.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,REGARD D'ARROSAGE.pdf,2023-11-17,2024-04-09,144,2.0,"A, B"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,REMBLAIBOX.pdf,2024-02-22,2024-02-22,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,SUBSTRAT ALLEGE.pdf,2024-02-23,2024-02-23,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,SUBSTRAT PLANTE INTERIEUR.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,TERRE VEGETALE AMENDEE.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,TUYAU GOUTTE A GOUTTE.pdf,2023-11-17,2024-04-09,144,2.0,"A, B"
DAF,docs écris,Aménagements Extérieurs - Parvis - Espaces verts,TUYAU PEHD.pdf,2023-11-17,2023-11-17,0,1.0,A
DAF,docs écris,Appareils élévateurs,"""Fiche produit Signalisations DCS KSS800 et KSS900",2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,"""Fiche produit Signalisations KSS140",2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,"""Fiche produit Signalisations KSS700",2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Mains courantes.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Parois de cabine.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Parois frontales.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Plafonds.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Plinthes - Lisses de protection.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Sols.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Tableau de maintenance (MAP).pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Vantaux et encadrements des portes.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche produit Verre et miroir.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,Fiche technique crochet de manutention.pdf,2023-03-27,2023-03-27,0,1.0,A
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_301_B Fiche produit Parois de cabine.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_302_B Fiche produit Parois frontales.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_303_B Fiche produit Plafonds.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_304_B Fiche produit Sols.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_305_B Fiche produit Mains courantes.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_306_B Fiche produit Plinthes - Lisses de protection.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_307_B Fiche produit Vantaux et encadrements des portes.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_308_B Fiche produit Verre et miroir.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_309_B Fiche produit Tableau de maintenance (MAP).pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_310_B Fiche produit Signalisations DCS KSS800 et KSS900 quadruplex AS1 - AS2 - AS3 - AS4 et triplex AS5 - AS6 - AS7.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_311_B Fiche produit Signalisations KSS700 duplex AI1 - AI2 - duplex AI4 - AI5 - ASC patio AI3.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_312_B Fiche produit Signalisations KSS140 MC AS8 - ASC RIE AI6 - MC vélos AI7.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Appareils élévateurs,GLF_EXE_KON_21_DAF_313_B Fiche technique crochet de manutention.pdf,2023-04-04,2023-04-04,0,1.0,B
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage, CASSETTE.pdf,2023-08-08,2023-10-30,83,2.0,"A, B"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,ACCUMULATEURS DE GLACE.pdf,2023-07-07,2023-07-07,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,ARMOIRE DE CLIMATISATION.pdf,2024-04-11,2024-04-11,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,BOUCHE VMC.pdf,2023-02-24,2023-02-24,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,BOÎTES A DÉBIT VARIABLE.pdf,2023-08-04,2023-08-04,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,CALORIFUGE.pdf,2023-02-27,2023-09-04,189,2.0,"A, B"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,CASSETTES.pdf,2023-07-31,2023-07-31,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,CENTRALES DE TRAITEMENT D'AIR.pdf,2023-07-17,2023-09-14,59,2.0,"A, B"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,CLAPET COUPE-FEU.pdf,2023-02-28,2023-02-28,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,COMPTAGE.pdf,2023-03-22,2023-03-22,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,CONVECTEURS ÉLECTRIQUES.pdf,2024-04-18,2024-04-18,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,DIFFUSEURS SOUFFLAGE REPRISE BUREAUX.pdf,2023-04-05,2023-04-05,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,DIFFUSEURS ZONE DÉCORATION.pdf,2023-05-25,2023-11-07,166,3.0,"A, B, C"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,DÉTECTEURS DE FUMÉES.pdf,2024-03-05,2024-03-05,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,FLOCAGE.pdf,2023-02-27,2023-02-27,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GAINE COUPE-FEU.pdf,2023-03-14,2023-03-14,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GAINES SOUPLES ISOPHONIQUES.pdf,2023-02-24,2023-02-24,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GAINES.pdf,2023-02-24,2023-02-24,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GESTION VENTILATION PARKING.pdf,2024-03-05,2024-03-05,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GRILLES D'EXTRACTION PLAFONNIERES.pdf,2023-03-16,2023-03-16,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GRILLES DE TRANSFERT.pdf,2023-02-27,2024-04-25,423,3.0,"A, B, C"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,GROUPES FROID + AÉRORÉFRIGÉRANTS.pdf,2023-08-08,2023-08-08,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,HOTTES.pdf,2023-11-06,2023-11-06,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,MODULE DE RÉGLAGE.pdf,2023-02-24,2023-02-24,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,PLANCHERS RÉVERSIBLES.pdf,2023-10-30,2023-10-30,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,POMPES.pdf,2023-12-15,2023-12-15,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,RACCORD ZAG.pdf,2023-02-24,2023-02-24,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,RIDEAU D'AIR CHAUD ÉLECTRIQUE.pdf,2024-03-18,2024-04-23,36,2.0,"A, B"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,ROBINETTERIE.pdf,2023-05-23,2023-05-23,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,RÉGULATEUR DE PRÉSSION DIFFÉRENTIELLE.pdf,2023-03-17,2023-03-17,0,1.0,A
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,RÉGULATION HYDRAULIQUE DES CTA ET DÉBITS MINI DES POMPES.pdf,2024-03-06,2024-03-08,2,2.0,"A, B"
DAF,docs écris,Chauffage - Ventilation - Climatisation - Désenfumage,TRAÇAGE ÉLECTRIQUE.pdf,2024-03-05,2024-03-05,0,1.0,A
