PROJET;EMET;PHASE;LOT;ZONE;TYPE DE DOCUMENT;Numéro;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Date demande visaMOEXE;Retard visaMOEXE;Date visaMOEXE;VisaMOEXE;Visa prévuMOEXE;Numéro chrono visaMOEXE;Numéro interne visaMOEXE;Commentaire visaMOEXE;Réponse commentaire visaMOEXE;Date demande visaMOE ENV;Retard visaMOE ENV;Date visaMOE ENV;VisaMOE ENV;Visa prévuMOE ENV;Numéro chrono visaMOE ENV;Numéro interne visaMOE ENV;Commentaire visaMOE ENV;Réponse commentaire visaMOE ENV;Date demande visaCOST MANAGER;Retard visaCOST MANAGER;Date visaCOST MANAGER;VisaCOST MANAGER;Visa prévuCOST MANAGER;Numéro chrono visaCOST MANAGER;Numéro interne visaCOST MANAGER;Commentaire visaCOST MANAGER;Réponse commentaire visaCOST MANAGER;Date demande visaMOE CET;Retard visaMOE CET;Date visaMOE CET;VisaMOE CET;Visa prévuMOE CET;Numéro chrono visaMOE CET;Numéro interne visaMOE CET;Commentaire visaMOE CET;Réponse commentaire visaMOE CET;Date demande visaMOE ACOUSTICIEN;Retard visaMOE ACOUSTICIEN;Date visaMOE ACOUSTICIEN;VisaMOE ACOUSTICIEN;Visa prévuMOE ACOUSTICIEN;Numéro chrono visaMOE ACOUSTICIEN;Numéro interne visaMOE ACOUSTICIEN;Commentaire visaMOE ACOUSTICIEN;Réponse commentaire visaMOE ACOUSTICIEN;Date demande visaMOE CUISINE;Retard visaMOE CUISINE;Date visaMOE CUISINE;VisaMOE CUISINE;Visa prévuMOE CUISINE;Numéro chrono visaMOE CUISINE;Numéro interne visaMOE CUISINE;Commentaire visaMOE CUISINE;Réponse commentaire visaMOE CUISINE;Date demande visaMOE AV;Retard visaMOE AV;Date visaMOE AV;VisaMOE AV;Visa prévuMOE AV;Numéro chrono visaMOE AV;Numéro interne visaMOE AV;Commentaire visaMOE AV;Réponse commentaire visaMOE AV;Date demande visaMOE IoT / BOS;Retard visaMOE IoT / BOS;Date visaMOE IoT / BOS;VisaMOE IoT / BOS;Visa prévuMOE IoT / BOS;Numéro chrono visaMOE IoT / BOS;Numéro interne visaMOE IoT / BOS;Commentaire visaMOE IoT / BOS;Réponse commentaire visaMOE IoT / BOS;Date demande visaCoordinateur SSI;Retard visaCoordinateur SSI;Date visaCoordinateur SSI;VisaCoordinateur SSI;Visa prévuCoordinateur SSI;Numéro chrono visaCoordinateur SSI;Numéro interne visaCoordinateur SSI;Commentaire visaCoordinateur SSI;Réponse commentaire visaCoordinateur SSI;Date demande visaPréventionniste;Retard visaPréventionniste;Date visaPréventionniste;VisaPréventionniste;Visa prévuPréventionniste;Numéro chrono visaPréventionniste;Numéro interne visaPréventionniste;Commentaire visaPréventionniste;Réponse commentaire visaPréventionniste;Date demande visaBureau de contrôle;Retard visaBureau de contrôle;Date visaBureau de contrôle;VisaBureau de contrôle;Visa prévuBureau de contrôle;Numéro chrono visaBureau de contrôle;Numéro interne visaBureau de contrôle;Commentaire visaBureau de contrôle;Réponse commentaire visaBureau de contrôle;Date demande visaCoordinateur SPS;Retard visaCoordinateur SPS;Date visaCoordinateur SPS;VisaCoordinateur SPS;Visa prévuCoordinateur SPS;Numéro chrono visaCoordinateur SPS;Numéro interne visaCoordinateur SPS;Commentaire visaCoordinateur SPS;Réponse commentaire visaCoordinateur SPS;Date demande visaMOE ECLAIRAGE;Retard visaMOE ECLAIRAGE;Date visaMOE ECLAIRAGE;VisaMOE ECLAIRAGE;Visa prévuMOE ECLAIRAGE;Numéro chrono visaMOE ECLAIRAGE;Numéro interne visaMOE ECLAIRAGE;Commentaire visaMOE ECLAIRAGE;Réponse commentaire visaMOE ECLAIRAGE;Date demande visaMOE PAYSAGISTE;Retard visaMOE PAYSAGISTE;Date visaMOE PAYSAGISTE;VisaMOE PAYSAGISTE;Visa prévuMOE PAYSAGISTE;Numéro chrono visaMOE PAYSAGISTE;Numéro interne visaMOE PAYSAGISTE;Commentaire visaMOE PAYSAGISTE;Réponse commentaire visaMOE PAYSAGISTE;Date demande visaMOE SECURITY-IT;Retard visaMOE SECURITY-IT;Date visaMOE SECURITY-IT;VisaMOE SECURITY-IT;Visa prévuMOE SECURITY-IT;Numéro chrono visaMOE SECURITY-IT;Numéro interne visaMOE SECURITY-IT;Commentaire visaMOE SECURITY-IT;Réponse commentaire visaMOE SECURITY-IT;Date demande visaARCHI;Retard visaARCHI;Date visaARCHI;VisaARCHI;Visa prévuARCHI;Numéro chrono visaARCHI;Numéro interne visaARCHI;Commentaire visaARCHI;Réponse commentaire visaARCHI;Date demande visaCOMMISSIONING;Retard visaCOMMISSIONING;Date visaCOMMISSIONING;VisaCOMMISSIONING;Visa prévuCOMMISSIONING;Numéro chrono visaCOMMISSIONING;Numéro interne visaCOMMISSIONING;Commentaire visaCOMMISSIONING;Réponse commentaire visaCOMMISSIONING;Date demande visaMOE CVC/PLB;Retard visaMOE CVC/PLB;Date visaMOE CVC/PLB;VisaMOE CVC/PLB;Visa prévuMOE CVC/PLB;Numéro chrono visaMOE CVC/PLB;Numéro interne visaMOE CVC/PLB;Commentaire visaMOE CVC/PLB;Réponse commentaire visaMOE CVC/PLB;Date demande visaMOE CFO/CFA/GTB;Retard visaMOE CFO/CFA/GTB;Date visaMOE CFO/CFA/GTB;VisaMOE CFO/CFA/GTB;Visa prévuMOE CFO/CFA/GTB;Numéro chrono visaMOE CFO/CFA/GTB;Numéro interne visaMOE CFO/CFA/GTB;Commentaire visaMOE CFO/CFA/GTB;Réponse commentaire visaMOE CFO/CFA/GTB;Date demande visaMOA;Retard visaMOA;Date visaMOA;VisaMOA;Visa prévuMOA;Numéro chrono visaMOA;Numéro interne visaMOA;Commentaire visaMOA;Réponse commentaire visaMOA;Column195;Column196;Column197;Column198;Column199;Column200;Column201;Column202;Column203;Column204;Column205;Column206
LED;ARA;EXE;CUI;TNZ;FTM;83;0;FTM83 - KITCHEN EQUIPMENT ind 0.zip;;03/04/2024;;Noëllie Girard de Langlade;/10 - FINANCES/1 - FTM;03/04/2024;;03/04/2024;PI;;;;;;;;;;;;;;;03/04/2024;;03/04/2024;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2024;;;;10/04/2024;;;;;;;;;;;;;;;;
LED;DUR;EXE;AGE;R5;DET;530;C;LED-DUR-EXE-AGE-R5-DET-0530-C - BARISTA CAFE ILOT CENTRAL.pdf;DI;19/04/2024;;Sarah NGUYENVAN;/402 - AMENAGEMENTS/PLANS - DETAILS - DURIEZ;19/04/2024;;;0;26/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/04/2024;;25/04/2024;REF;;185;;"Anton SIMONE :
Ice-machine cannot come behind a closed door, make door lower as on the other levels.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/04/2024;;;0;26/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/04/2024;;;0;26/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;DUR;EXE;AGE;R5;DET;530;B;LED-DUR-EXE-AGE-R5-DET-0530-B - BARISTA CAFE - ILOT CENTRAL.pdf;;28/11/2023;;Clotaire BRASSARD;/402 - AMENAGEMENTS/PLANS - DETAILS - DURIEZ;29/11/2023;;;;06/12/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2023;;05/12/2023;VAO;;169;;"Anton SIMONE :
see attachment
PS name of drawing is 0530-A not B";"Amaury SWYNGEDAUW :
The coffee machine is a demand from Ledger, the VISA will not be taken into account
Amaury SWYNGEDAUW :
The coffee machine is a demand from Ledger, the VISA will not be taken into account";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2023;;;;07/12/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2023;-9;14/12/2023;VAO;;1886;;"Mathilde THALOUARN :
VAO :
- Voir observations ci-jointes.";"Clotaire BRASSARD :
Bonjour, 
Les remarques seront bien pris en compte.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;DUR;EXE;AGE;R5;DET;530;A;LED-DUR-EXE-AGE-R5-DET-0530-A - BARISTA CAFE ILOT CENTRAL.pdf;;08/08/2023;;Clotaire BRASSARD;/402 - AMENAGEMENTS/PLANS - DETAILS - DURIEZ;08/08/2023;-33;17/09/2023;VAO;;1051;;"Polycarpe ANANI :
Prendre en compte avis architecte et apporter complement suivant avis BET cuisine";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21/08/2023;-7;04/09/2023;REF;;78;;"Anton SIMONE :
Miss the drip tray (L5.03b) and Jug rinser  (L5.05)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/08/2023;-6;21/08/2023;F;;421;;"Visa SOCOTEC :
Emetteur : Gilles LE NY
Date : 2023-08-08T15:14:19+00:00
Avis : Favorable
Commentaire : 
Voir Document en PJ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/08/2023;-1;16/08/2023;VAO;;891;;"Mathilde THALOUARN :
VAO :
- Voir observations ci-jointes.";"Sarah NGUYENVAN :
Cf retour DUMEZ ci-joint.
 fr :  
LED-DUR-EXE-AGE-R5-DET-0530-A - BARISTA CAFE, ILOT CENTRAL (VISA STU - RETOUR DZ).pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;DUR;EXE;AGE;R5;DET;530;0;LED-DUR-EXE-AGE-R5-DET-0530-0 - BARISTA CAFE ILOT CENTRAL.pdf;;08/08/2023;;Sarah NGUYENVAN;/402 - AMENAGEMENTS/PLANS - DETAILS - DURIEZ;08/08/2023;;;;15/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/08/2023;;;;15/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/08/2023;;;;15/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;JDB;EXE;PAY;TNZ;PLN;1;B;LED-JDB-EXE-PAY-TNZ-PLN-0001-B - Carnet de détails des extérieurs.pdf;DI;18/04/2024;;Sarah NGUYENVAN;/200 - PAYSAGE/PLANS - DETAILS - COUPES;18/04/2024;;;-1;25/04/2024;;;;;18/04/2024;;18/04/2024;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;-1;25/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;-1;25/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;JDB;EXE;PAY;TNZ;PLN;1;A;LED-JDB-EXE-PAY-TNZ-PLN-0001-A - Carnet de détails des extérieurs.pdf;;20/12/2023;;Sarah NGUYENVAN;/200 - PAYSAGE/PLANS - DETAILS - COUPES;20/12/2023;;;;27/12/2023;;;;;20/12/2023;;20/12/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/12/2023;;;;27/12/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/12/2023;-9;04/01/2024;VAO;;1960;;"Mathilde THALOUARN :
VAO :
- Voir observations ci-jointes.";"Sarah NGUYENVAN :
Pour mémo, vu avec Mathilde le 22/03 : Laquage des costières RDC en RAL 7021 mat.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;INT;EXE;AGE;TNZ;PLN;2001;E;LED-INT-EXE-AGE-TNZ-PLN-2001-E - Habillage ascenseur.pdf;DI;17/04/2024;;Ana Maria QUINTERO;/402 - AMENAGEMENTS/PLANS - DETAILS - INTERNA;18/04/2024;;;-2;25/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;-2;25/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;23/04/2024;VAO;;2262;;"Mathilde THALOUARN :
VAO :
Voir observations ci-jointes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;INT;EXE;AGE;TNZ;PLN;2001;D;LED-INT-EXE-AGE-TNZ-PLN-2001-D - Habillage ascenseur.pdf;;09/04/2024;;Ana Maria QUINTERO;/402 - AMENAGEMENTS/PLANS - DETAILS - INTERNA;10/04/2024;;;;17/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/04/2024;;;;17/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/04/2024;;15/04/2024;VAO;;2259;;"Mathilde THALOUARN :
VAO :
Voir observations ci-jointes.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LED;INT;EXE;AGE;TNZ;PLN;2001;C;LED-INT-EXE-AGE-TNZ-PLN-2001-C - Habillage ascenseur.pdf;;04/03/2024;;Ana Maria QUINTERO;/402 - AMENAGEMENTS/PLANS - DETAILS - INTERNA;05/03/2024;;;;12/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/03/2024;;;;12/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/03/2024;-4;15/03/2024;VAO;;2167;;"Mathilde THALOUARN :
VAO 
Voir observations ci-jointes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
