PROJET;PHASE;EMET;LOT;LOT1;NIVEAU;ZONE;TYPE DE DOCUMENT;Numéro;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Délai de Réémission;Date demande visaCSSI;Retard visaCSSI;Date visaCSSI;VisaCSSI;Visa prévuCSSI;Numéro chrono visaCSSI;Numéro interne visaCSSI;Commentaire visaCSSI;Réponse commentaire visaCSSI;Date demande visaMOEX - EGIS;Retard visaMOEX - EGIS;Date visaMOEX - EGIS;VisaMOEX - EGIS;Visa prévuMOEX - EGIS;Numéro chrono visaMOEX - EGIS;Numéro interne visaMOEX - EGIS;Commentaire visaMOEX - EGIS;Réponse commentaire visaMOEX - EGIS;Date demande visaARC - ATELIERS 115;Retard visaARC - ATELIERS 115;Date visaARC - ATELIERS 115;VisaARC - ATELIERS 115;Visa prévuARC - ATELIERS 115;Numéro chrono visaARC - ATELIERS 115;Numéro interne visaARC - ATELIERS 115;Commentaire visaARC - ATELIERS 115;Réponse commentaire visaARC - ATELIERS 115;Date demande visaDECORATEUR - SAGUEZ;Retard visaDECORATEUR - SAGUEZ;Date visaDECORATEUR - SAGUEZ;VisaDECORATEUR - SAGUEZ;Visa prévuDECORATEUR - SAGUEZ;Numéro chrono visaDECORATEUR - SAGUEZ;Numéro interne visaDECORATEUR - SAGUEZ;Commentaire visaDECORATEUR - SAGUEZ;Réponse commentaire visaDECORATEUR - SAGUEZ;Date demande visaPAYSAGISTE - MUGO;Retard visaPAYSAGISTE - MUGO;Date visaPAYSAGISTE - MUGO;VisaPAYSAGISTE - MUGO;Visa prévuPAYSAGISTE - MUGO;Numéro chrono visaPAYSAGISTE - MUGO;Numéro interne visaPAYSAGISTE - MUGO;Commentaire visaPAYSAGISTE - MUGO;Réponse commentaire visaPAYSAGISTE - MUGO;Date demande visaBET FACADES - ELIOTH;Retard visaBET FACADES - ELIOTH;Date visaBET FACADES - ELIOTH;VisaBET FACADES - ELIOTH;Visa prévuBET FACADES - ELIOTH;Numéro chrono visaBET FACADES - ELIOTH;Numéro interne visaBET FACADES - ELIOTH;Commentaire visaBET FACADES - ELIOTH;Réponse commentaire visaBET FACADES - ELIOTH;Date demande visaBET STRUCTURE - TERRELL;Retard visaBET STRUCTURE - TERRELL;Date visaBET STRUCTURE - TERRELL;VisaBET STRUCTURE - TERRELL;Visa prévuBET STRUCTURE - TERRELL;Numéro chrono visaBET STRUCTURE - TERRELL;Numéro interne visaBET STRUCTURE - TERRELL;Commentaire visaBET STRUCTURE - TERRELL;Réponse commentaire visaBET STRUCTURE - TERRELL;Date demande visaBET POLLUTION DES SOLS - GINGER;Retard visaBET POLLUTION DES SOLS - GINGER;Date visaBET POLLUTION DES SOLS - GINGER;VisaBET POLLUTION DES SOLS - GINGER;Visa prévuBET POLLUTION DES SOLS - GINGER;Numéro chrono visaBET POLLUTION DES SOLS - GINGER;Numéro interne visaBET POLLUTION DES SOLS - GINGER;Commentaire visaBET POLLUTION DES SOLS - GINGER;Réponse commentaire visaBET POLLUTION DES SOLS - GINGER;Date demande visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Retard visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Date visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;VisaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Visa prévuBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Numéro chrono visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Numéro interne visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Commentaire visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Réponse commentaire visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Date demande visaBET  FLUIDES - PROJEX;Retard visaBET  FLUIDES - PROJEX;Date visaBET  FLUIDES - PROJEX;VisaBET  FLUIDES - PROJEX;Visa prévuBET  FLUIDES - PROJEX;Numéro chrono visaBET  FLUIDES - PROJEX;Numéro interne visaBET  FLUIDES - PROJEX;Commentaire visaBET  FLUIDES - PROJEX;Réponse commentaire visaBET  FLUIDES - PROJEX;Date demande visaBET CUISINES - CONVERGENCE;Retard visaBET CUISINES - CONVERGENCE;Date visaBET CUISINES - CONVERGENCE;VisaBET CUISINES - CONVERGENCE;Visa prévuBET CUISINES - CONVERGENCE;Numéro chrono visaBET CUISINES - CONVERGENCE;Numéro interne visaBET CUISINES - CONVERGENCE;Commentaire visaBET CUISINES - CONVERGENCE;Réponse commentaire visaBET CUISINES - CONVERGENCE;Date demande visaBET ACOUSTIQUE - STUDIO FA;Retard visaBET ACOUSTIQUE - STUDIO FA;Date visaBET ACOUSTIQUE - STUDIO FA;VisaBET ACOUSTIQUE - STUDIO FA;Visa prévuBET ACOUSTIQUE - STUDIO FA;Numéro chrono visaBET ACOUSTIQUE - STUDIO FA;Numéro interne visaBET ACOUSTIQUE - STUDIO FA;Commentaire visaBET ACOUSTIQUE - STUDIO FA;Réponse commentaire visaBET ACOUSTIQUE - STUDIO FA;Date demande visaCONTROLEUR TECHNIQUE - SOCOTEC;Retard visaCONTROLEUR TECHNIQUE - SOCOTEC;Date visaCONTROLEUR TECHNIQUE - SOCOTEC;VisaCONTROLEUR TECHNIQUE - SOCOTEC;Visa prévuCONTROLEUR TECHNIQUE - SOCOTEC;Numéro chrono visaCONTROLEUR TECHNIQUE - SOCOTEC;Numéro interne visaCONTROLEUR TECHNIQUE - SOCOTEC;Commentaire visaCONTROLEUR TECHNIQUE - SOCOTEC;Réponse commentaire visaCONTROLEUR TECHNIQUE - SOCOTEC;Date demande visaAMO ENVIRONNEMENT - GREENAFFAIR;Retard visaAMO ENVIRONNEMENT - GREENAFFAIR;Date visaAMO ENVIRONNEMENT - GREENAFFAIR;VisaAMO ENVIRONNEMENT - GREENAFFAIR;Visa prévuAMO ENVIRONNEMENT - GREENAFFAIR;Numéro chrono visaAMO ENVIRONNEMENT - GREENAFFAIR;Numéro interne visaAMO ENVIRONNEMENT - GREENAFFAIR;Commentaire visaAMO ENVIRONNEMENT - GREENAFFAIR;Réponse commentaire visaAMO ENVIRONNEMENT - GREENAFFAIR;Date demande visaAMO COMMISSIONNING - GREENAFFAIR;Retard visaAMO COMMISSIONNING - GREENAFFAIR;Date visaAMO COMMISSIONNING - GREENAFFAIR;VisaAMO COMMISSIONNING - GREENAFFAIR;Visa prévuAMO COMMISSIONNING - GREENAFFAIR;Numéro chrono visaAMO COMMISSIONNING - GREENAFFAIR;Numéro interne visaAMO COMMISSIONNING - GREENAFFAIR;Commentaire visaAMO COMMISSIONNING - GREENAFFAIR;Réponse commentaire visaAMO COMMISSIONNING - GREENAFFAIR;Date demande visaCSPS - SOCOTEC;Retard visaCSPS - SOCOTEC;Date visaCSPS - SOCOTEC;VisaCSPS - SOCOTEC;Visa prévuCSPS - SOCOTEC;Numéro chrono visaCSPS - SOCOTEC;Numéro interne visaCSPS - SOCOTEC;Commentaire visaCSPS - SOCOTEC;Réponse commentaire visaCSPS - SOCOTEC;Column163;Column164;Column165;Column166;Column167;Column168
GLF;EXE;SIM;Façades;3;NTT;TZN;PLN;1090;A;Plan Toiture Terrasse.dwg;;31/03/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Pièces graphiques;;;;;;;;;;;;;31/03/2023;-24;15/05/2023;VAO;;132;;"Simon DAVID :
-	Prendre en compte les visas de ELIOTH et A115
-	Des éléments de la légende ne sont pas repérés sur le plan. Si ce plan ne correspond qu’au calepinage en plan de la façade, retirer ces éléments de la légende.
-	Intégrer la limite de propriété
-	Intégrer fond de plan Gros-œuvre et existants";;31/03/2023;-11;25/04/2023;VAO;;147;;"Nicolas VIGNAU :
Voir visa EXE_A115_MEX_VISA_03-05_A ci-joint";;31/03/2023;;31/03/2023;PI;;;;;;;;;;;;;;;31/03/2023;-11;25/04/2023;VAO;;19;;"Lisa SCHILLINGER :
Observations générales : 
-Le présent visa ne concerne que les éléments représentés sur le plan à savoir le calepinage de façade
-Le répérage des ouvrants DAS est Hors Mission et à valider par le bureau de contrôle, le lot CVCD et l'architecte
-Le présent Visa sous réserve validation architecte
-Le présent Visa sous réserve validation carnets de systèmes

Observations particulières :
-Indiquer la limite de propriété 
-Clarifier la position du nu du vitrage : que représente les lignes colorées sur le plan?
-Indiquer l'emprise de la façade (nu intérieur et extérieur)
-Indiquer la position des ouvrants pompier";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31/03/2023;;07/04/2023;NC;;58;;;;31/03/2023;;;;14/04/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;NDC;8006;A;Rapport justificatif dimensionnement longueur terre cuite.pdf;DI;11/08/2023;;Federica CARLET;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Pièces écrites hors DAF;;;;;;;;;;;;;;;16/02/2024;VAO;;1822;;"Simon DAVID :
mise à jour statut du visa suite abandon du découpage en 2 éléments.
- Voir visa ELIOTH
- Suite aux réponses aux visa d’ELIOTH ayant fait l’objet de points spécifiques nous avons bien noté que les terres cuites auraient bien pu être réalisées avec un seul joint par étage tel que prévu au marché au lieu de deux joints par étage que vous demandez.
- Cependant, suite à votre retour trop tardif et pour vous permettre d’accélérer la mise en fabrication des terres cuites et montage sur bocs, il a été acté en board du 14/09/23 que les terre cuites seront réalisées avec deux joints par étage.";;11/08/2023;-6;31/08/2023;VAOB;;596;;"Nicolas VIGNAU :
Prendre en compte visa ELIOTH.";;11/08/2023;;11/08/2023;PI;;;;;;;;;;;;;;;11/08/2023;;24/08/2023;VAOB;;100;;"Lisa SCHILLINGER :
Voir Visa en PJ EIFFEL_ELT_VISA_GLF-EXE-SIM-3-TZN-TNX-NDC-8006-A-.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11/08/2023;-5;29/08/2023;NC;;766;;;;11/08/2023;-6;30/08/2023;F;;343;;"Visa SOCOTEC :
Emetteur : Aziz ZIR
Date : 2023-08-11T09:59:40+00:00
Avis : Favorable
Commentaire : Les autres dispositions techniques figurant sur les documents cités dans le cadre ci-contre n'appellent pas de remarque particulière de notre part.

A noter que les visas et les éventuelles remarques formulées par les maîtrises d’œuvre (architectural et/ou technique) seront à prendre en compte bien que non reprises dans nos fiches.
Voir Document en PJ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"EXE
11/08/2023
MOEX - EGIS -> VAOB
Simon DAVID :
-	Voir visa ELIOTH
-	Suite aux réponses aux visa d’ELIOTH ayant fait l’objet de points spécifiques nous avons bien noté que les terres cuites auraient bien pu être réalisées avec un seul joint par étage tel que prévu au marché au lieu de deux joints par étage que vous demandez.
-	Cependant, suite à votre retour trop tardif et pour vous permettre d’accélérer la mise en fabrication des terres cuites et montage sur bocs, il a été acté en board du 14/09/23 que les terre cuites seront réalisées avec deux joints par étage.";;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;DAF;9001;B;Fiche technique vitrage GL-01.pdf;DI;09/08/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Fiches Produits (DAF);;;85;;;;;;;;;;09/08/2023;-21;19/09/2023;VAO;;871;;"Simon DAVID :
-	Vitrage validé esthétiquement par le MO sur le prototype
-	Ce vitrage sera à installer sur toutes les façades T1 (exposées et non exposées) et sur les façades T2
-	Performance thermiques et lumineuses validées (voir visa ELIOTH)
-	Répondre aux visas d’ELIOTH et STUDIO FA et fournir les NDC épaisseur vitrage et NDC acoustiques
-	Répondre à l’avis de GREENAFFAIR";;09/08/2023;-10;01/09/2023;VAO;;603;;"Nicolas VIGNAU :
Sous réserve validation ELIOTH et STUDIO FA.
Sous réserve validation sur prototype.";;09/08/2023;;09/08/2023;PI;;;;;;;;;;;;;;;09/08/2023;-7;29/08/2023;VAO;;105;;"Lisa SCHILLINGER :
VSO pour les performances thermiques et lumineuses.
Nota : les épaisseurs de vitrages devront être justifiées via une NDC et justification acoustique.
Nota : Vitrage à valider sur prototype";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09/08/2023;-7;29/08/2023;VAO;;895;;"Jérôme FALALA :
PV acoustique des menuieries à transmettre (indice d'affaibliessement avec le vitrage proposé + isolement latéral et vertical)";;09/08/2023;;;-247;23/08/2023;;;;;09/08/2023;;09/08/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;DAF;9001;A;Fiche technique vitrage GL-01.pdf;;21/03/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Fiches Produits (DAF);;;;;;;;;;;;;21/03/2023;-35;15/05/2023;VAO;;147;;"Simon DAVID :
-	Répondre à l’avis du BET acoustique STUDIO FA : « Aucune performance acoustique communiquée. A mettre à jour avec les performances des vitrages (à adapter en regard des performances acoustiques des menuiseries proposées) »
-	Répondre à l’avis du BET Environnement GREENAFFAIR : « Mentionner l'orientation du vitrage (plusieurs typologies décrites dans la SED) »
-	Sous réserve validation sur le prototype";;21/03/2023;-1;04/04/2023;VAO;;105;;"Nicolas VIGNAU :
Sous réserve validation BET façade et acoustique";;21/03/2023;;21/03/2023;PI;;;;;;;;;;;;;;;21/03/2023;-7;11/04/2023;VSO;;2;;"Vincent le Rest :
A valider sur prototype";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21/03/2023;-3;07/04/2023;VAO;;76;;"Jérôme FALALA :
Aucune performance acoustique communiquée.
A mettre à jour avec les performances des vitrages (à adapter en regard des performances acoustiques des menuiseries proposées).";;21/03/2023;;;;04/04/2023;;;;;21/03/2023;;21/03/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;DAF;9023;B;Stores BSO.pdf;DI;08/08/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Fiches Produits (DAF);;;;;;;;;;;;;08/08/2023;-22;19/09/2023;VAO;;887;;"Simon DAVID :
-	Prendre en compte visa A115 : le coloris des BSO n’est pas le même sur les façades T1 et T2
-	Il manque la fiche technique des moteurs, schémas électriques et les informations sur les raccordements pour interface avec le lot Elec.";;08/08/2023;-10;01/09/2023;VSO;;601;;"Nicolas VIGNAU :
Teinte BSO dito teinte menuiserie:
- Finition Teinte RAL à définir pour T2 (en attente présentation prototype).
- Finition Teinte Steel Bronze 1 pour T1 et autres.";;08/08/2023;;08/08/2023;PI;;;;;;;;;;;;;;;08/08/2023;-8;29/08/2023;VSO;;104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/08/2023;-8;29/08/2023;NC;;926;;;;08/08/2023;;;-248;22/08/2023;;;;;08/08/2023;;08/08/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;DAF;9023;A;Stores BSO.pdf;;27/04/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Fiches Produits (DAF);;;;;;;;;;;;;27/04/2023;;;;18/05/2023;;;;;27/04/2023;-21;31/05/2023;VAO;;177;;"Nicolas VIGNAU :
Sous réserve validation Elioth et présentation sur témoin façade.
Coloris à préciser.";;27/04/2023;;27/04/2023;PI;;;;;;;;;;;;;;;27/04/2023;;28/04/2023;VAOB;;33;;"Lisa SCHILLINGER :
'- sous réserve validation archi
- Pour rappel au marché une lame de 80 est prévue, préciser le choix de lame.
- Préciser la classe de résistance au vent compatible avec les vitesses de vent du projet";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27/04/2023;;03/05/2023;NC;;365;;;;27/04/2023;;;;11/05/2023;;;;;27/04/2023;;27/04/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;PPR;7006;B;Plan de prototype T1a et T1b.pdf;DI;03/08/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Pièces graphiques;;;;;;;;;;;;;03/08/2023;-62;25/10/2023;VAO;;1089;;"Simon DAVID :
- voir visa ELIOTH, A115 et studio FA
- le principe de découpage de la terre-cuite en 3 éléments a été validé en BORAD du 14/09/23. Selon ce principe et votre plan de découpage des terre-cuite N°5011-A les terres cuites sont de longueur 1078mm dans les cas courants et de 1200mm ponctuellement dans le cas des trumeaux de terre-cuite double hauteur
- sous réserve de l’avis de socotec";;03/08/2023;-43;28/09/2023;VAO;;714;;"Nicolas VIGNAU :
Voir visa EXE_A115_MEX_VISA_03-23_A ci-joint.";;03/08/2023;;03/08/2023;PI;;;;;;;;;;;;;;;03/08/2023;-13;29/08/2023;VAOB;;102;;"Lisa SCHILLINGER :
'-A ce stade le calepinage du bardage céramique n'est pas validé";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/08/2023;-13;29/08/2023;VAOB;;916;;"Jérôme FALALA :
Depuis plusieurs mois, il est rappelé à l'entreprise son obligation de transmettre les PV acoustiques des menuiseries proposées (indice d'affaiblissement acoustique /  isolement latéral et vertical) : à ce jour et malgré de multiple rappels aucun élément ne nous a été transmis (seules des FT indiquant des valeurs déclaratives des affaiblissements acoustiques des vitrages seuls ont été transmises). Aussi, nous ne sommes donc  pas en capacité de valider les éléments proposés en façade, faute de justification acoustique. Ce point est bloquant car les performances requises tant en affaiblissement acoustique qu'en isolement latéral sont strictements nécessaires pour l'obtention des oebjectifs acoustiques et de la certification.";;03/08/2023;;;-254;17/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;PPR;7006;A;Plan de prototype T1a et T1b.pdf;;20/07/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Pièces graphiques;;;;;;;;;;;;;20/07/2023;;;;10/08/2023;;;;;20/07/2023;;;;03/08/2023;;;;;20/07/2023;;20/07/2023;PI;;;;;;;;;;;;;;;20/07/2023;;02/08/2023;VAO;;91;;"Lisa SCHILLINGER :
'- Il y a une confusion dans la numérotation. Dans le doc essai AEV on parle de PMU1 et PMU2 et ici le plan s'appelle PMU3.
- Incohérence en élévation : sur le carnet de système le module de 3380 se décompose en 2533 + 847, ici on a 2546 + 834. Il faudrait homogénéiser.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/07/2023;;;;03/08/2023;;;;;20/07/2023;;;;03/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;PPR;7004;A;Carnet de validation prototype VMU1.pdf;DI;25/07/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Pièces graphiques;;;;;;;;;;;;;25/07/2023;-38;22/09/2023;VAO;;917;;"Simon DAVID :
- voir visa d'ELIOTH
- Voir document annoté ci-joint transmis par mail le 30/07/23";;25/07/2023;-65;12/10/2023;VAO;;785;;"Nicolas VIGNAU :
Voir retour EGIS, ELIOTH et STUDIO FA.";;25/07/2023;;25/07/2023;PI;;;;;;;;;;;;;;;25/07/2023;;25/07/2023;VAO;;89;;"Lisa SCHILLINGER :
Voir document joint";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25/07/2023;-21;29/08/2023;VAOB;;923;;"Jérôme FALALA :
Depuis plusieurs mois, il est rappelé à l'entreprise son obligation de transmettre les PV acoustiques des menuiseries proposées (indice d'affaiblissement acoustique /  isolement latéral et vertical) : à ce jour et malgré de multiple rappels aucun élément ne nous a été transmis (seules des FT indiquant des valeurs déclaratives des affaiblissements acoustiques des vitrages seuls ont été transmises). Aussi, nous ne sommes donc  pas en capacité de valider les éléments proposés en façade, faute de justification acoustique. Ce point est bloquant car les performances requises tant en affaiblissement acoustique qu'en isolement latéral sont strictements nécessaires pour l'obtention des oebjectifs acoustiques et de la certification.";;25/07/2023;;;-262;08/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;DAF;9043;A;Laquage RAL9016.pdf;DI;07/07/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Fiches Produits (DAF);;;;;;;;;;;;;07/07/2023;-68;04/10/2023;VAO;;976;;"Simon DAVID :
-	Prendre en compte le visa d’ELIOTH :
« Fournir label Qualicoat »
-	Les châssis des facades type T2 du patio ont été validées en RAL 9016 matt30 comme présenté sur le prototype.
-	Voir tableau des validations des coloris (doc 7004-A) ci-joint pointé en date du 29/09/23 suite présentation du prototype T2";;07/07/2023;;07/07/2023;VAO;;493;;"Nicolas VIGNAU :
Sous réserve présentation sur témoin façade T2.";;07/07/2023;;07/07/2023;PI;;;;;;;;;;;;;;;07/07/2023;;20/07/2023;VAO;;85;;"Lisa SCHILLINGER :
- Sous réserve validation architecte
- Fournir label Qualicoat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07/07/2023;;12/07/2023;NC;;687;;;;07/07/2023;;;-280;21/07/2023;;;;;07/07/2023;;07/07/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Façades;3;TNX;TZN;DAF;9011;A;Laquage RAL.pdf;DI;29/06/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 03 - Façades - Verrières/Fiches Produits (DAF);;;;;;;;;;;;;29/06/2023;-77;04/10/2023;REF;;975;;"Simon DAVID :
-	Prendre en compte le visa d’ELIOTH :
« Fournir label Qualicoat »
-	Préciser ou revoir la localisation
-	Revoir titre du document
-	Les châssis des façades type T2 du patio ont été validées en RAL 9016 matt30 comme présenté sur le prototype.
-	Par contre les bandeaux blancs de la façade T1 ont été validés en RAL 9003 D1036 matt30
-	Voir tableau des validations des coloris (doc 7004-A) ci-joint pointé en date du 29/09/23 suite présentation du prototype T2";;29/06/2023;-84;05/10/2023;VAO;;770;;"Nicolas VIGNAU :
Voir retour EGIS et ELIOTH.
Teinte RAL 9003 matt validé pour façade T1 ( RAL 9016 pour façade T2).";;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;29/06/2023;-8;20/07/2023;VAO;;80;;"Lisa SCHILLINGER :
'- Sous réserve validation architecte
- Préciser localisation
- Fournir label Qualicoat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/06/2023;;30/06/2023;NC;;618;;;;29/06/2023;;;-289;13/07/2023;;;;;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Nacelle de nettoyage;4;TNX;TZN;DAF;9003;A;Fiche technique cheville mechanique nacelle.pdf;DI;29/06/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 04 - Nacelle de nettoyage/Fiches Produits (DAF);;;;;;;;;;;;;29/06/2023;-246;21/03/2024;VAOB;;2373;;"Simon DAVID :
- Voir visa ELIOTH : Fournir note de calcul des ancrages pour justifier le choix des chevilles selon les différents cas.
- sous réserve avis SOCOTEC";;29/06/2023;-5;17/07/2023;NC;;550;;;;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;29/06/2023;;12/07/2023;VAOB;;72;;"Lisa SCHILLINGER :
Fournir note de calcul des ancrages pour justifier le choix des chevilles selon les différents cas.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/06/2023;;;-289;13/07/2023;;;;;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Nacelle de nettoyage;4;TNX;TZN;DAF;9002;A;Fiche technique prise electrique nacelle.pdf;DI;29/06/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 04 - Nacelle de nettoyage/Fiches Produits (DAF);;;;;;;;;;;;;29/06/2023;-246;21/03/2024;VAO;;2374;;"Simon DAVID :
- référence de prise transmise au lot CFO et en attente de la diffusion de leur fiche produit selon vos prescriptions 
- Pour mémoire les implantations des PC nacelles a été validée en réunion interfaces du 29/01/24 et celle-ci seront position sur des mur, sur des jardinières et sur des pieds support selon les cas. voir plan ci-joint";;29/06/2023;-5;17/07/2023;VAO;;549;;"Nicolas VIGNAU :
Sous réserva validation ELIOTH et lot CFO.";;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;29/06/2023;;12/07/2023;VSO;;71;;"Lisa SCHILLINGER :
Sous réserve validation lot CFO/CFA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/06/2023;;;-289;13/07/2023;;;;;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;SIM;Nacelle de nettoyage;4;TNX;TZN;DAF;9001;A;Fiche technique nacelle biplace.pdf;DI;29/06/2023;;Andrea NARESSI;/01 - DOCUMENTS D'EXECUTION/Lot 04 - Nacelle de nettoyage/Fiches Produits (DAF);;;;;;;;;;;;;29/06/2023;-246;21/03/2024;VAO;;2375;;"Simon DAVID :
-	Répondre au visa d’ELIOTH : Justifier que la nacelle bi place est bien compatible avec le système de potence sur garde-corps au N7 et avec le système de potence amovible du N6.
-	Sous réserve avis SOCOTEC et GREENAFFAIR";;29/06/2023;-5;17/07/2023;VAO;;548;;"Nicolas VIGNAU :
Sous réserve validation ELIOTH et EGIS.";;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;29/06/2023;;12/07/2023;VAO;;70;;"Lisa SCHILLINGER :
Justifier que la nacelle bi place est bien compatible avec le système de potence sur garde-corps au N7 et avec le système de potence amovible du N6.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/06/2023;;;-289;13/07/2023;;;;;29/06/2023;;29/06/2023;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
