Date dépôt GED;LOT;desc_lot;ZONE;NIVEAU;TYPE DE DOCUMENT;Categ_Docs;INDICE;Libellé du document;Dernier indice;Nombre  d'indice;Durée _versi_type_doc
30/03/2024;10;Faux-planchers;TZN;R+5;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+5.pdf;DI;;
30/03/2024;10;Faux-planchers;TZN;R+6;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+6.pdf;DI;;
30/03/2024;10;Faux-planchers;TZN;R+7;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+7.pdf;DI;;
30/03/2024;10;Faux-planchers;TZN;R+8;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+8.pdf;DI;;
18/09/2023;10;Faux-planchers;TZN;RDC;PLN;docs graphiques;A;PLAN DE FAUX PLANCHERS RDC.pdf;;;
30/03/2024;10;Faux-planchers;TZN;TNX;DAF;docs écris;C;CARREAUX DE PLATRE POUR BARRIERE COUPE-FEU EN SEUILS DE PORTES ET COMPARTIMENTAGE.pdf;DI;;
02/03/2023;10;Faux-planchers;TZN;TNX;DAF;docs écris;A;CARREAUX DE PLATRE POUR BARRIERE COUPE-FEU EN SEUILS DE PORTES ET COMPARTIMENTAGE.pdf;;;
29/03/2024;15;Plomberie;TZN;TNX;DAF;docs écris;A;Pompes de bouclage ECS.pdf;DI;;
29/03/2024;13;Peinture;TZN;TNX;PLN;docs graphiques;C;Plan du SS3.pdf;DI;;
29/03/2024;15;Plomberie;TZN;TNX;DAF;docs écris;B;Surpresseur EF.pdf;DI;;
28/03/2024;15;Plomberie;TZN;TNX;DAF;docs écris;A;Siphon de sol - Fonte et inox.pdf;DI;;
28/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;BAC ROND 60X60.pdf;DI;;
28/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;BAC ROND 100X80.pdf;DI;;
28/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;JARDINIERE INTERIEUR 120X50X50.pdf;DI;;
28/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;JARDINIERE INTERIEUR 200X50X50.pdf;DI;;
28/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;JARDINIERE INTERIEUR 100X50X50.pdf;DI;;
28/03/2024;5;Cloisons - Doublages;B;R+3;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R3 B.pdf;DI;;
28/03/2024;5;Cloisons - Doublages;C;R+4;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R4 C1.pdf;DI;;
28/03/2024;5;Cloisons - Doublages;C;R+3;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R3 C1.pdf;DI;;
27/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;B;DAF Terre végétale.pdf;DI;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;DAF Terre végétale.pdf;;;
26/03/2024;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;DOUBLAGE COLLE Doublissimmo 80 + 13.pdf;DI;;
26/03/2024;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;DOUBLAGE COLLE Calibel 80 + 13.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;C;R+6;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R6 C2.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;C;R+6;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R6 C1.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;B;R+6;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R6 B .pdf;DI;;
25/03/2024;5;Cloisons - Doublages;C;R+5;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R5 C2.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;C;R+5;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R5 C1.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;B;R+5;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R5 B .pdf;DI;;
25/03/2024;5;Cloisons - Doublages;B;R+4;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R4 B.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;B;R+2;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R2 B.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;C;R+1;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R1 C2.pdf;DI;;
25/03/2024;5;Cloisons - Doublages;C;R+1;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R1 C1.pdf;DI;;
22/03/2024;9;Faux-plafonds;TZN;TNX;DET;docs graphiques;A;CARNET DE DETAILS PLAFONDS.pdf;DI;;
20/03/2024;6;Cloisons - Doublages;C;R+6;PAQ;docs écris;A;GLF-EXE-DUM-06-R+6-C-PAQ-0010-A (Autocontrôles renforts vasque sanitaire R6 C).pdf;DI;;
20/03/2024;6;Cloisons - Doublages;C;R+5;PAQ;docs écris;A;GLF-EXE-DUM-06-R+5-C-PAQ-0009-A (Autocontrôles renforts vasque sanitaire R5 C).pdf;DI;;
20/03/2024;6;Cloisons - Doublages;C;R+4;PAQ;docs écris;A;GLF-EXE-DUM-06-R+4-C-PAQ-0008-A (Autocontrôles renforts vasque sanitaire R4 C).pdf;DI;;
20/03/2024;6;Cloisons - Doublages;B;R+4;PAQ;docs écris;A;GLF-EXE-DUM-06-R+4-B-PAQ-0011-A (Autocontrôles renforts vasque sanitaire R4 B).pdf;DI;;
20/03/2024;6;Cloisons - Doublages;C;R+3;PAQ;docs écris;A;GLF-EXE-DUM-06-R+3-C-PAQ-0007-A (Autocontrôles renforts vasque sanitaire R3 C).pdf;DI;;
18/03/2024;5;Cloisons - Doublages;TZN;TNX;PLN;docs graphiques;A;PLAN DE REPERAGE FAUX PLAFONDS SANITAIRE A1 DU R+1 AU R+8.pdf;DI;;
18/03/2024;5;Cloisons - Doublages;TZN;TNX;PLN;docs graphiques;A;PLAN DE REPERAGE FAUX PLAFONDS SANITAIRE A2 DU R+2 AU R+6.pdf;DI;;
18/03/2024;5;Cloisons - Doublages;TZN;TNX;PLN;docs graphiques;A;PLAN DE REPERAGE FAUX PLAFONDS SANITAIRE B DU R+1 AU R+8.pdf;DI;;
18/03/2024;5;Cloisons - Doublages;TZN;TNX;PLN;docs graphiques;A;PLAN DE REPERAGE FAUX PLAFONDS SANITAIRE C1 DU R+1 AU R+8.pdf;DI;;
18/03/2024;5;Cloisons - Doublages;TZN;TNX;PLN;docs graphiques;A;PLAN DE REPERAGE FAUX PLAFONDS SANITAIRE C2 DU R+1 AU R+7.pdf;DI;;
26/02/2024;9;Faux-plafonds;TZN;SS1;PLN;docs graphiques;A;PLAN DE REPERAGE DU PLAFOND SS1.pdf;;;
13/03/2024;11;Revêtements de sols et murs durs;TZN;SS1;DET;docs graphiques;A;GLF-EXE-DUM-11-SS1-DET-0001-A (complexe de sol vestiaire vélo SS1).pdf;DI;;
12/03/2024;9;Faux-plafonds;TZN;R+7;PLN;docs graphiques;B;PLAN DE REPERAGE DU PLAFOND R+7.pdf;DI;;
25/10/2023;6;Cloisons - Doublages;TZN;_;PLN;docs graphiques;B;Plan de repérages des portes Menuiseries Intérieures.pdf;;;
08/03/2024;14;Chauffage - Ventilation - Climatisation - Désenfumage;TZN;TNX;DAF;docs écris;B;RÉGULATION HYDRAULIQUE DES CTA ET DÉBITS MINI DES POMPES.pdf;DI;;
06/03/2024;14;Chauffage - Ventilation - Climatisation - Désenfumage;TZN;TNX;DAF;docs écris;A;RÉGULATION HYDRAULIQUE DES CTA ET DÉBITS MINI DES POMPES.pdf;;;
25/10/2023;6;Cloisons - Doublages;TZN;_;PLN;docs graphiques;B;Tableau de portes Menuiseries Intérieures.pdf;;;
06/03/2024;7;Serrurerie - Métallerie;TZN;TNX;NDC;docs écris;B;GLF-EXE-DUM-07-TNX-TZN-NDC-8003-A - NDC EI2.pdf;DI;;
06/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;DAF pas Japonais en pierre naturelle.pdf;DI;;
29/02/2024;7;Serrurerie - Métallerie;TZN;SS1;DAF;docs écris;A;GLF-EXE-DUM-07-SS1-TNZ-DAF-7041-A Porte Local PDL.pdf;DI;;
29/02/2024;7;Serrurerie - Métallerie;TZN;R+2;PLN;docs graphiques;A;CLOISON VITREE CF REP P-R02-001.pdf;DI;;
29/02/2024;7;Serrurerie - Métallerie;TZN;R+3;PLN;docs graphiques;A;CLOISON VITREE CF REP L-R03-006.pdf;DI;;
28/02/2024;11;Revêtements de sols et murs durs;C;R+5;PAQ;docs écris;A;GLF-EXE-DUM-11-R+5-C-PAQ-0002-A (Fiche d'autocontrôle - Lot carrelage - R5 Sanitaire FH C1 - Chape).pdf;DI;;
28/02/2024;11;Revêtements de sols et murs durs;C;R+5;PAQ;docs écris;A;GLF-EXE-DUM-11-R+5-C-PAQ-0001-A (Fiche d'autocontrôle - Lot carrelage - R5 Sanitaire FH C2 - Chape).pdf;DI;;
28/02/2024;11;Revêtements de sols et murs durs;C;R+4;PAQ;docs écris;A;GLF-EXE-DUM-11-R+4-C-PAQ-0002-A (Fiche d'autocontrôle - Lot carrelage - R4 Sanitaire FH C1 - Chape).pdf;DI;;
28/02/2024;11;Revêtements de sols et murs durs;C;R+4;PAQ;docs écris;A;GLF-EXE-DUM-11-R+4-C-PAQ-0001-A (Fiche d'autocontrôle - Lot carrelage - R4 Sanitaire FH C2 - Chape).pdf;DI;;
28/02/2024;11;Revêtements de sols et murs durs;C;R+3;PAQ;docs écris;A;GLF-EXE-DUM-11-R+3-C-PAQ-0002-A (Fiche d'autocontrôle - Lot carrelage - R3 Sanitaire FH C1 - Chape).pdf;DI;;
03/03/2023;11;Revêtements de sols et murs durs;TZN;TNX;DAF;docs écris;A;RESINE HIMFRANCE HIMFLOOR DS 7000N (paliers quadruplex, escalier chambord et jardins d'hiver).pdf;;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;Borne lumineuse Balise 84750.pdf;DI;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;C;BILLE D'ARGILE.pdf;DI;;
23/02/2024;19;Electricité courants faibles;TZN;TNX;DAF;docs écris;C;Fiche technique - Déclencheur manuel.pdf;DI;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;FOURREAUX POUR ALIMENTATION ELECTRIQUE.pdf;DI;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;SUBSTRAT ALLEGE.pdf;DI;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;DAF guide et attaches plantes grimpantes.pdf;DI;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;DAF Dossier de plantes.pdf;DI;;
23/02/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;B;2.9.4.1  GRILLES EXTERIEURES DE VENTILATION (FAÇADES LEGERES).pdf;DI;;
22/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;LAME EN PIN.pdf;DI;;
22/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;LAME EN COMPOSITE.pdf;DI;;
22/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;REMBLAIBOX.pdf;DI;;
22/02/2024;16;Sprinklage;TZN;TNX;DAF;docs écris;A;ANTIGEL.pdf;DI;;
08/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;RDC;DAF;docs écris;A;DAF Clous podotactiles (circulation vélo).pdf;DI;;
18/09/2023;10;Faux-planchers;TZN;TNX;DAF;docs écris;C;PLANCHER TECHNIQUE BUROMECA 30 600*600 SANS REVETEMENT DE FINITION (5 FACES TOLEES 30 MM).pdf;;;
23/01/2024;7;Serrurerie - Métallerie;TZN;TNX;DAF;docs écris;A;GLF-EXE-ATO-07-DAF-7232-A Maille Serrurier 50x50.pdf;DI;;
22/01/2024;11;Revêtements de sols et murs durs;C;R+3;PAQ;docs écris;A;Fiche d'autocontrôle - Lot carrelage - R3 Sanitaire FH C2.pdf;DI;;
22/01/2024;11;Revêtements de sols et murs durs;C;R+2;PAQ;docs écris;A;Fiche d'autocontrôle - Lot carrelage - R2 Sanitaire FH C2.pdf;DI;;
19/01/2024;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI30-SA-1VTL-30dB-METAL-INFRA.pdf;DI;;
19/01/2024;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI60-1VTL-35dB-BOIS-INFRA.pdf;DI;;
19/01/2024;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI30-SA-2VTX-METAL-INFRA.pdf;DI;;
11/09/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;Façade filante monobloc stratifié UNILIN gamme EVOLA Décor AMAZONIA réf 0H689W03 (bâti, meneaux, imposte, ouvrant).pdf;;;
18/01/2024;7;Serrurerie - Métallerie;TZN;RDC;PLN;docs graphiques;A;CLOISON VITREE CF REP 001.pdf;DI;;
18/01/2024;15;Plomberie;TZN;TNX;DAF;docs écris;A;Calorifuge réseaux.pdf;DI;;
11/01/2024;15;Plomberie;TZN;TNX;DAF;docs écris;B;Robinet de puisage.pdf;DI;;
11/01/2024;15;Plomberie;TZN;TNX;DAF;docs écris;A;Supportage et fixations.pdf;DI;;
11/01/2024;15;Plomberie;TZN;TNX;DAF;docs écris;A;Robinetterie cellules sanitaires.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI30-SA-1VTL-40dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI60-SA-2VTX-40dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI60-SA-2VTL-35dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;BP-EI30-SA-2VTX-42dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;BP-EI30-SA-2VTX-40dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;BP-EI30-SA-SA-1VTL-35dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;BP-EI30-SA-2VTX-35dB-METAL-INFRA.pdf;DI;;
22/12/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;BP-EI60-SA-2VTX METAL-INFRA.pdf;DI;;
18/12/2023;15;Plomberie;TZN;TNX;DAF;docs écris;B;Ballon ECS sanitaires et vestiaires.pdf;DI;;
15/12/2023;10;Faux-planchers;TZN;TNX;DAF;docs écris;D;PLANCHER TECHNIQUE 600*600 AVEC REVETEMENT STRATIFIE INTEGRE 30 MM.pdf;DI;;
08/12/2023;5;Cloisons - Doublages;C;R+2;PAQ;docs écris;A;Autocontrôles témoin sanitaires.pdf;DI;;
06/12/2023;5;Cloisons - Doublages;C;R+3;PAQ;docs écris;A;Fiche 1 Autocontrole sanitaires R3 C2 .pdf;DI;;
05/12/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;ENCORFREMENT DES CLOISONS COMPARTIMENTAGE SOUS HPN.pdf;DI;;
05/12/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;REDUCTEUR DE CLOISON, PERCUSSION CLOISON MENEAU.pdf;DI;;
02/12/2023;7;Serrurerie - Métallerie;TZN;SS1;PLN;docs graphiques;A;CLOISON VITREE CF REP P-SS1-072.pdf;DI;;
20/11/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;C;BP-EI30-SA-1VTL-BOIS-SUPER (FP encastré et charnieres encastrées).pdf;DI;;
16/11/2023;11;Revêtements de sols et murs durs;TZN;TNX;DAF;docs écris;B;SOUS COUCHE D'ISOLATION PHONIQUE SIPLAST ASSOUR CHAPE +.pdf;DI;;
08/11/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;BP-EI30-SA-1VTL-BOIS-SUPER (FP encastré et charnieres encastrées) Bloc porte sanitaires.pdf;DI;;
06/11/2023;14;Chauffage - Ventilation - Climatisation - Désenfumage;TZN;TNX;DAF;docs écris;A;HOTTES.pdf;DI;;
02/11/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;Façade de gaine techniques GAINEFEU EI30 GCF 30-38 K180 S.pdf;DI;;
30/10/2023;14;Chauffage - Ventilation - Climatisation - Désenfumage;TZN;TNX;DAF;docs écris;A;PLANCHERS RÉVERSIBLES.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;CONTRE-CLOISONS DES GAINES DE DESENFUMAGE DES PLATEAUX BUREAUX PAREMENT SIMPLE PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;48 PAREMENT DOUBLE PLAQUE 18 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;0 SIMPLE PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;2 SIMPLE PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;48 PAREMENT SIMPLE PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;48 PAREMENT DOUBLE PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;90 PAREMENT DOUBLE PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;2  PLAQUE 12,5 MM.pdf;DI;;
25/10/2023;5;Cloisons - Doublages;TZN;TNX;DAF;docs écris;B;110 PAREMENT DOUBLE PLAQUE 12,5 MM.pdf;DI;;
24/10/2023;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;A;2.9.21  RAMPE DE SEUIL RABATTABLE POUR PORTE-FENETRES.pdf;DI;;
20/10/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-EI30-SA-1VTL-METAL-INFRA.pdf;DI;;
19/10/2023;6;Cloisons - Doublages;TZN;_;PLN;docs graphiques;A;Plan de repérages des façades de gaine.pdf;DI;;
06/10/2023;9;Faux-plafonds;TZN;TNX;DAF;docs écris;D;FAUX PLAFONDS EN FIBRES MINERALES DES ESPACES BUREAUX DES PLATEAUX BUREAUX ET ASSIMILES ET VERRIERES.pdf;DI;;
05/10/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;Bloc porte EI30 grandes dimensions.pdf;DI;;
05/10/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;BP-DAS-EI60-2VTX-VV-GRL200-BOIS-SUPER (Sans montants) Bloc porte DAS 2 vantaux.pdf;DI;;
