PROJET;PHASE;EMET;LOT;ZONE;NIVEAU;TYPE DE DOCUMENT;3 caractère compris entre 0 & 9;Titre du document;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Date demande visaARC - DTACC;Retard visaARC - DTACC;Date visaARC - DTACC;VisaARC - DTACC;Visa prévuARC - DTACC;Numéro chrono visaARC - DTACC;Numéro interne visaARC - DTACC;Commentaire visaARC - DTACC;Réponse commentaire visaARC - DTACC;Date demande visaBET STR - SCYNA 4;Retard visaBET STR - SCYNA 4;Date visaBET STR - SCYNA 4;VisaBET STR - SCYNA 4;Visa prévuBET STR - SCYNA 4;Numéro chrono visaBET STR - SCYNA 4;Numéro interne visaBET STR - SCYNA 4;Commentaire visaBET STR - SCYNA 4;Réponse commentaire visaBET STR - SCYNA 4;Date demande visaBET Fluide - ATEC;Retard visaBET Fluide - ATEC;Date visaBET Fluide - ATEC;VisaBET Fluide - ATEC;Visa prévuBET Fluide - ATEC;Numéro chrono visaBET Fluide - ATEC;Numéro interne visaBET Fluide - ATEC;Commentaire visaBET Fluide - ATEC;Réponse commentaire visaBET Fluide - ATEC;Date demande visaCoordinateur SSI - EURO COORD;Retard visaCoordinateur SSI - EURO COORD;Date visaCoordinateur SSI - EURO COORD;VisaCoordinateur SSI - EURO COORD;Visa prévuCoordinateur SSI - EURO COORD;Numéro chrono visaCoordinateur SSI - EURO COORD;Numéro interne visaCoordinateur SSI - EURO COORD;Commentaire visaCoordinateur SSI - EURO COORD;Réponse commentaire visaCoordinateur SSI - EURO COORD;Date demande visaACOUSTIQUE - CAP HORN;Retard visaACOUSTIQUE - CAP HORN;Date visaACOUSTIQUE - CAP HORN;VisaACOUSTIQUE - CAP HORN;Visa prévuACOUSTIQUE - CAP HORN;Numéro chrono visaACOUSTIQUE - CAP HORN;Numéro interne visaACOUSTIQUE - CAP HORN;Commentaire visaACOUSTIQUE - CAP HORN;Réponse commentaire visaACOUSTIQUE - CAP HORN;Date demande visaBDC - BTP CONSULTANTS;Retard visaBDC - BTP CONSULTANTS;Date visaBDC - BTP CONSULTANTS;VisaBDC - BTP CONSULTANTS;Visa prévuBDC - BTP CONSULTANTS;Numéro chrono visaBDC - BTP CONSULTANTS;Numéro interne visaBDC - BTP CONSULTANTS;Commentaire visaBDC - BTP CONSULTANTS;Réponse commentaire visaBDC - BTP CONSULTANTS;Date demande visaBET Façade - ROUX INGENIERIE;Retard visaBET Façade - ROUX INGENIERIE;Date visaBET Façade - ROUX INGENIERIE;VisaBET Façade - ROUX INGENIERIE;Visa prévuBET Façade - ROUX INGENIERIE;Numéro chrono visaBET Façade - ROUX INGENIERIE;Numéro interne visaBET Façade - ROUX INGENIERIE;Commentaire visaBET Façade - ROUX INGENIERIE;Réponse commentaire visaBET Façade - ROUX INGENIERIE;Column82;Column83
PECM;EXE;DPR;OCC;BUR;R+1;FTP;2;FT COFFRES STORES;A;Documentation COFFRE_web 2023.pdf;;29/11/2023;;Romario BANDULA;/01 - DOC EXE/Lot 06 - Occultation/Fiche Technique Produit;;;29/11/2023;;11/12/2023;VAO;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2023;-26;09/01/2024;F;;161;;;;29/11/2023;-4;18/12/2023;VSO;;17;27;"Vincent Pottier :
voir PJ";;;
PECM;EXE;DPR;OCC;BUR;R+1;FTP;2;FT COFFRES STORES;0;Documentation COFFRE_web 2023.pdf;;12/10/2023;;Romario BANDULA;/01 - DOC EXE/Lot 06 - Occultation/Fiche Technique Produit;;;12/10/2023;-6;01/11/2023;VAO;;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12/10/2023;;;;27/10/2023;;;;;;;;;;;;;;;
PECM;EXE;DPR;OCC;BUR;R+1;FTP;3;FT TISSUS;C;screen-design_m-screen-8503-8505_fr.pdf;DI;18/04/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 06 - Occultation/Fiche Technique Produit;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;OCC;BUR;R+1;FTP;3;FT TISSUS;B;screen-design_m-screen-8503-8505_fr.pdf;;16/02/2024;;Romario BANDULA;/01 - DOC EXE/Lot 06 - Occultation/Fiche Technique Produit;;;16/02/2024;;29/02/2024;VAO;;264;;;"Romario BANDULA :
Le PV de la toile est dans le dossier ""pièces écrites"" du même lot et est validé par le BET Façade.
 fr :  
PV Feu toile stores.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/02/2024;;;;02/03/2024;;;;;16/02/2024;;28/02/2024;VSO;;38;48;"Vincent Pottier :
voir PJ";;;
PECM;EXE;DPR;OCC;BUR;R+1;FTP;3;FT TISSUS;A;screen-design_m-screen-8503-8505_fr.pdf;;29/11/2023;;Romario BANDULA;/01 - DOC EXE/Lot 06 - Occultation/Fiche Technique Produit;;;29/11/2023;;11/12/2023;VAO;;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2023;-26;09/01/2024;F;;160;;;;29/11/2023;-4;18/12/2023;VAO;;15;25;"Vincent Pottier :
voir PJ";;;
PECM;EXE;DPR;OCC;BUR;R+1;FTP;3;FT TISSUS;0;screen-design_m-screen-8503-8505_fr.pdf;;12/10/2023;;Romario BANDULA;/01 - DOC EXE/Lot 06 - Occultation/Fiche Technique Produit;;;12/10/2023;-6;01/11/2023;VAO;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12/10/2023;;;;27/10/2023;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;FTP;3;FT GT STANDARD 2 VANTAUX;A;FT GT STD IMP EN APPLIQUE 2 VTX.pdf;DI;09/04/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Fiche Technique Produit;;;09/04/2024;;;-2;24/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;FTP;3;FT GT STANDARD 2 VANTAUX;0;FT GT STD IMP EN APPLIQUE 2 VTX.pdf;;28/09/2023;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Fiche Technique Produit;;;28/09/2023;-11;23/10/2023;REF;;86;;"Roberto SABELLA :
-	Ajouter une page de garde, avec les informations sur :
Libelle 
Description du produit
Dénomination
Destination / Localisation
Fournisseur
Type et référence / coloris
Caractéristique technique
Référence article CCTP / Plan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/09/2023;-14;27/10/2023;F;;50;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;FTP;4;FT GT STANDARD 1 VANTAIL;A;FT GT STD IMP EN APPLIQUE.pdf;DI;09/04/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Fiche Technique Produit;;;09/04/2024;;;-2;24/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;FTP;4;FT GT STANDARD 1 VANTAIL;0;FT GT STD IMP EN APPLIQUE.pdf;;28/09/2023;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Fiche Technique Produit;;;28/09/2023;-11;23/10/2023;REF;;85;;"Roberto SABELLA :
-	Ajouter une page de garde, avec les informations sur :
Libelle 
Description du produit
Dénomination
Destination / Localisation
Fournisseur
Type et référence / coloris
Caractéristique technique
Référence article CCTP / Plan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/09/2023;-14;27/10/2023;F;;49;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PEC;1;NF D121 EI60 FR;B;NF D121-EI60-FR.pdf;DI;29/03/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces écrites;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/03/2024;;;-13;13/04/2024;;;;;;;;;;;;;;29/03/2024;;;-13;13/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PEC;1;NF D121 EI60 FR;A;NF D121-EI60-FR.pdf;;29/03/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces écrites;;;;;;;;;;;;;;;;;;;;;29/03/2024;;;;13/04/2024;;;;;;;;;;;;;;;;;;;;;;;29/03/2024;;;;13/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PEC;1;NF D121 EI60 FR;0;NF D121-EI60-FR.pdf;;29/02/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces écrites;;;29/02/2024;;12/03/2024;NC;;272;;;;;;;;;;;;;;;;;;;;;;29/02/2024;;29/02/2024;VOB;;9;;"François VAZQUEZ :
Voir Avis Euro Coord N° 5";"Julien MATHIEU :
Etant des portes NF, nous ne fournissons pas le PV mais la notice NF, qui, dans ce cas de figure prévaut sur le PV de référence. Les données fournies dans la notice sont extraites directement du procès-verbal et incluant des informations supplémentaires sur la NF.

Les autocontrôles justifiant notamment des résultats de vitesse de fermeture des fermes-portes seront fournis dans le DOE, à la fin de l’opération.
 fr :  
Avis sur doc 5 Portes DAS Métal.pdf, 
STE-HD-EI-Notice_de_pose.pdf, 
B2-101-PLANS DU NIVEAU R1 - Réponse à l'avis rèf CO-0051-24-FV.pdf, 
Notice NF STEHDEI260DFNF.pdf";;;;;;;;;;29/02/2024;;;;15/03/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PEC;2;PV DAS;A;PV SA 05 01 35 F DAS EI30 EI60 PORTE 1 et 2 vantaux.pdf;DI;29/03/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces écrites;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/03/2024;;;-13;13/04/2024;;;;;;;;;;;;;;29/03/2024;;;-13;13/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PEC;2;PV DAS;0;PV SA 05 01 35 F DAS EI30 EI60 PORTE 1 et 2 vantaux.pdf;;29/02/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces écrites;;;29/02/2024;;12/03/2024;NC;;273;;;;;;;;;;;;;;;;;;;;;;29/02/2024;;29/02/2024;VOB;;8;;"François VAZQUEZ :
Voir Avis Euro Coord N° 5";"Julien MATHIEU :
Etant des portes NF, nous ne fournissons pas le PV mais la notice NF, qui, dans ce cas de figure prévaut sur le PV de référence. Les données fournies dans la notice sont extraites directement du procès-verbal et incluant des informations supplémentaires sur la NF.

Les autocontrôles justifiant notamment des résultats de vitesse de fermeture des fermes-portes seront fournis dans le DOE, à la fin de l’opération.
 fr :  
B2-101-PLANS DU NIVEAU R1 - Réponse à l'avis rèf CO-0051-24-FV.pdf, 
Notice NF STEHDEI260DFNF.pdf, 
PECM-EXE-DPR-MET-BUR-R+1-PEC-001-NF D121 EI60 FR-0.pdf, 
STE-HD-EI-Notice_de_pose.pdf, 
Avis sur doc 5 Portes DAS Métal.pdf";;;;;;;;;;29/02/2024;;;;15/03/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;GO;TZ;R+1;FTP;0;Peintures intumescentes;A;FT Peintures intumescentes.pdf;DI;28/03/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 02 - DEMOLITION GROS OEUVRE/Fiche Technique Produit;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;GO;TZ;R+1;FTP;0;Peintures intumescentes;0;FT Peintures intumescentes.pdf;;11/10/2023;;Julien MATHIEU;/01 - DOC EXE/Lot 02 - DEMOLITION GROS OEUVRE/Fiche Technique Produit;;;11/10/2023;;23/10/2023;REF;;54;;"Roberto SABELLA :
-	Ajouter une page de garde, avec les informations sur :
Libelle 
Description du produit
Dénomination
Destination / Localisation
Fournisseur
Type et référence / coloris
Caractéristique technique
Référence article CCTP / Plan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11/10/2023;-1;27/10/2023;S;;14;;"Meriem ABDELLAOUI :
Il conviendra de nous communiquer :
- le plan de repérage des éléments traités ;
- les PV justificatifs du classement au feu confié aux éléments, la mise en œuvre de la peinture intumescente doit être conforme aux PV.";;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;PLN;4;HABILLAGE VC ZONE CENTRALE;B;EXE-VANTEC-ARC-9-R+1-PLN-004-0- détail habillage VC.pdf;DI;28/03/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces graphiques;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;28/03/2024;;28/03/2024;PI;;;;;;;;;;;;;;;;;;;;;;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;PLN;4;HABILLAGE VC ZONE CENTRALE;A;EXE-VANTEC-ARC-9-R+1-PLN-004-0- détail habillage VC.pdf;;11/03/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces graphiques;;;11/03/2024;;19/03/2024;VOB;;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11/03/2024;;;;26/03/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;PLN;4;HABILLAGE VC ZONE CENTRALE;0;EXE-VANTEC-ARC-9-R+1-PLN-004-0- détail habillage VC.pdf;;06/03/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces graphiques;;;06/03/2024;;;;21/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06/03/2024;;;;21/03/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;TZ;R+1;PEC;1;TABLEAU DE PORTES V1;D;VANTEC - PEC MARENGO - TABLEAU DE PORTES V1 27092023.pdf;DI;28/03/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces écrites;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;TZ;R+1;PEC;1;TABLEAU DE PORTES V1;C;VANTEC - PEC MARENGO - TABLEAU DE PORTES V1 27092023.pdf;;25/01/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces écrites;;;25/01/2024;-3;12/02/2024;VOB;;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25/01/2024;;;;09/02/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;TZ;R+1;PEC;1;TABLEAU DE PORTES V1;B;VANTEC - PEC MARENGO - TABLEAU DE PORTES V1 27092023.pdf;;05/01/2024;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces écrites;;;05/01/2024;-3;22/01/2024;VOB;;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2024;;;;20/01/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;TZ;R+1;PEC;1;TABLEAU DE PORTES V1;A;VANTEC - PEC MARENGO - TABLEAU DE PORTES V1 27092023.pdf;;02/11/2023;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces écrites;;;02/11/2023;;14/11/2023;VAO;;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02/11/2023;;;;17/11/2023;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;TZ;R+1;PEC;1;TABLEAU DE PORTES V1;0;VANTEC - PEC MARENGO - TABLEAU DE PORTES V1 27092023.pdf;;28/09/2023;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Pièces écrites;;;28/09/2023;-11;23/10/2023;VOB;;89;;"Roberto SABELLA :
Manque plan repérage.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/09/2023;;;;13/10/2023;;;;;;;;;;;;;;;
PECM;EXE;DPR;CLO;TZ;R+1;FTP;34;membrane_stopvap_90;A;membrane_stopvap_90.pdf;DI;28/03/2024;;Romario BANDULA;/01 - DOC EXE/Lot 07 - Cloison Doublage/Fiche Technique Produit;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;CLO;TZ;R+1;FTP;3;Knauf fiche composant aquapanel;A;FTPROD_AQI13_2015-02-24.pdf;DI;28/03/2024;;Romario BANDULA;/01 - DOC EXE/Lot 07 - Cloison Doublage/Fiche Technique Produit;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;CLO;TZ;R+1;FTP;3;Knauf fiche composant aquapanel;0;FTPROD_AQI13_2015-02-24.pdf;;05/10/2023;;Julien MATHIEU;/01 - DOC EXE/Lot 07 - Cloison Doublage/Fiche Technique Produit;;;05/10/2023;-4;24/10/2023;VOB;;118;;"Roberto SABELLA :
-	Ajouter une page de garde, avec les informations sur :
Libelle 
Description du produit
Dénomination
Destination / Localisation
Fournisseur
Type et référence 
Caractéristique technique
Référence article CCTP / Plan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/10/2023;-108;05/02/2024;F;;190;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PLN;0;Porte DAS;B;DC.22.10.0392 - Cahier de plans pour validation - Ind B.pdf;DI;28/03/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces graphiques;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/03/2024;;;-14;12/04/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MET;BUR;R+1;PLN;0;Porte DAS;A;DC.22.10.0392 - Cahier de plans pour validation - Ind B.pdf;;20/02/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 08 - Métallerie/Pièces graphiques;;;20/02/2024;;22/02/2024;VOB;;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/02/2024;;;;06/03/2024;;;;;;;;;;;;;;;
